,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,target_is_lower_bound,model_source,individual_loss
168,query_94,ext_tpcds1000#031#001,1778861305520,autoslo-4-1778861305520-0,4,266,3594.689697265625,2120.51513671875,1474.174560546875,1.6951963901519775,False,lstm,0.5277986526489258
106,query_267,ext_tpcds1000#043#003,1778861305520,autoslo-4-1778861305520-0,4,232,3587.162353515625,4353.4384765625,766.276123046875,1.2136162519454956,False,lstm,0.1936044692993164
714,query_265,ext_tpcds1000#011#003,1778861305520,autoslo-4-1778861305520-0,4,234,3577.644287109375,2816.736083984375,760.908203125,1.2701382637023926,False,lstm,0.23912572860717773
364,query_177,ext_tpcds1000#047#002,1778833176612,autoslo-4-1778833176612-0,4,133,3563.237548828125,3574.366943359375,11.12939453125,1.00312340259552,False,lstm,0.0031185150146484375
2696,query_179,ext_tpcds1000#056#001,1778861305520,autoslo-4-1778861305520-0,4,250,3554.396240234375,3145.544921875,408.851318359375,1.1299779415130615,False,lstm,0.12219810485839844
2407,query_183,ext_tpcds1000#046#003,1778861305520,autoslo-4-1778861305520-0,4,250,3543.1533203125,2772.748046875,770.4052734375,1.2778489589691162,False,lstm,0.24517822265625
3018,query_48,ext_tpcds1000#081#002,1778822197626,autoslo-4-1778822197626-0,4,114,3541.9541015625,1983.2403564453125,1558.7137451171875,1.7859429121017456,False,lstm,0.5799465179443359
2632,query_276,ext_tpcds1000#070#003,1778861305520,autoslo-4-1778861305520-0,4,225,3534.3349609375,4567.88037109375,1033.54541015625,1.2924299240112305,False,lstm,0.25652408599853516
844,query_295,ext_tpcds1000#093#003,1778861305520,autoslo-4-1778861305520-0,4,218,3532.96337890625,243.0897216796875,3289.87353515625,14.533577919006348,False,lstm,2.676461696624756
719,query_175,ext_tpcds1000#053#002,1778846572149,autoslo-4-1778846572149-0,4,135,3531.14453125,3384.47509765625,146.66943359375,1.0433359146118164,False,lstm,0.042423248291015625
2345,query_277,ext_tpcds1000#036#002,1778861305520,autoslo-4-1778861305520-0,4,225,3520.68017578125,4205.255859375,684.57568359375,1.194444179534912,False,lstm,0.17768096923828125
2310,query_270,ext_tpcds1000#044#002,1778861305520,autoslo-4-1778861305520-0,4,229,3519.52197265625,4097.74267578125,578.220703125,1.1642895936965942,False,lstm,0.15211105346679688
109,query_172,ext_tpcds1000#008#001,1778846572149,autoslo-4-1778846572149-0,4,135,3517.129638671875,3506.419189453125,10.71044921875,1.0030544996261597,False,lstm,0.0030498504638671875
3145,query_203,ext_tpcds1000#080#002,1778861305520,autoslo-4-1778861305520-0,4,250,3514.983642578125,2015.2203369140625,1499.7633056640625,1.7442179918289185,False,lstm,0.5563063621520996
2888,query_273,ext_tpcds1000#025#003,1778861305520,autoslo-4-1778861305520-0,4,226,3505.89111328125,3811.888916015625,305.997802734375,1.0872809886932373,False,lstm,0.0836801528930664
842,query_279,ext_tpcds1000#005#003,1778861305520,autoslo-4-1778861305520-0,4,223,3502.27197265625,2094.820068359375,1407.451904296875,1.6718724966049194,False,lstm,0.513944149017334
1096,query_199,ext_tpcds1000#071#001,1778861305520,autoslo-4-1778861305520-0,4,250,3494.498291015625,2685.817626953125,808.6806640625,1.3010928630828857,False,lstm,0.26320457458496094
3050,query_200,ext_tpcds1000#015#002,1778861305520,autoslo-4-1778861305520-0,4,250,3490.870849609375,3884.8408203125,393.969970703125,1.1128572225570679,False,lstm,0.10693073272705078
425,query_238,ext_tpcds1000#046#002,1778861305520,autoslo-4-1778861305520-0,4,245,3490.328369140625,3178.88037109375,311.447998046875,1.0979740619659424,False,lstm,0.09346675872802734
492,query_206,ext_tpcds1000#098#001,1778861305520,autoslo-4-1778861305520-0,4,250,3489.845703125,3794.6240234375,304.7783203125,1.087332844734192,False,lstm,0.08372783660888672
2021,query_92,ext_tpcds1000#009#001,1778868881242,autoslo-4-1778868881242-0,4,225,3489.712646484375,4710.583984375,1220.871337890625,1.3498486280441284,False,lstm,0.29999256134033203
2501,query_148,ext_tpcds1000#045#003,1778868881242,autoslo-4-1778868881242-0,4,207,3486.988037109375,2236.94384765625,1250.044189453125,1.5588178634643555,False,lstm,0.4439277648925781
2499,query_198,ext_tpcds1000#086#001,1778861305520,autoslo-4-1778861305520-0,4,250,3482.428466796875,3789.44189453125,307.013427734375,1.088160753250122,False,lstm,0.0844888687133789
2698,query_197,ext_tpcds1000#024#003,1778833176612,autoslo-4-1778833176612-0,4,122,3475.27880859375,648.5199584960938,2826.7587890625,5.3587846755981445,False,lstm,1.6787371635437012
170,query_209,ext_tpcds1000#098#003,1778861305520,autoslo-4-1778861305520-0,4,250,3474.28466796875,4210.46875,736.18408203125,1.2118951082229614,False,lstm,0.1921854019165039
2406,query_211,ext_tpcds1000#063#001,1778861305520,autoslo-4-1778861305520-0,4,250,3474.052734375,5119.62451171875,1645.57177734375,1.473675012588501,False,lstm,0.3877592086791992
1514,query_159,ext_tpcds1000#038#003,1778868881242,autoslo-4-1778868881242-0,4,201,3472.770751953125,3692.457275390625,219.6865234375,1.0632597208023071,False,lstm,0.061339378356933594
2503,query_178,ext_tpcds1000#090#002,1778846572149,autoslo-4-1778846572149-0,4,135,3472.74755859375,3924.8916015625,452.14404296875,1.1301977634429932,False,lstm,0.12239265441894531
296,query_202,ext_tpcds1000#053#003,1778861305520,autoslo-4-1778861305520-0,4,250,3458.166259765625,4809.30908203125,1351.142822265625,1.3907108306884766,False,lstm,0.3298149108886719
1931,query_53,ext_tpcds1000#057#001,1778822197626,autoslo-4-1778822197626-0,4,112,3457.6650390625,1730.359130859375,1727.305908203125,1.9982354640960693,False,lstm,0.6922645568847656
1002,query_221,ext_tpcds1000#085#003,1778861305520,autoslo-4-1778861305520-0,4,248,3446.1103515625,416.49151611328125,3029.618896484375,8.27414321899414,False,lstm,2.11313533782959
2283,query_273,ext_tpcds1000#025#003,1778868881242,autoslo-4-1778868881242-0,4,151,3439.6025390625,3349.28369140625,90.31884765625,1.0269665718078613,False,lstm,0.026609420776367188
1638,query_217,ext_tpcds1000#071#003,1778861305520,autoslo-4-1778861305520-0,4,249,3435.95703125,2812.007080078125,623.949951171875,1.2218877077102661,False,lstm,0.20039701461791992
2122,query_244,ext_tpcds1000#007#001,1778868881242,autoslo-4-1778868881242-0,4,168,3430.404052734375,2362.326416015625,1068.07763671875,1.452129602432251,False,lstm,0.3730311393737793
1964,query_111,ext_tpcds1000#016#002,1778822197626,autoslo-4-1778822197626-0,4,108,3429.576416015625,4725.662109375,1296.085693359375,1.3779141902923584,False,lstm,0.3205709457397461
976,query_247,ext_tpcds1000#053#002,1778868881242,autoslo-4-1778868881242-0,4,166,3425.660400390625,3198.53125,227.129150390625,1.0710104703903198,False,lstm,0.0686025619506836
