,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,factor_error,underprediction_error_s,target_is_lower_bound,model_source,individual_loss
1163,query_132,ext_tpcds1000#087#002,1778846572149,autoslo-4-1778846572149-0,4,138,3651.69482421875,2175.9833984375,,,0.5958831310272217,1475.71142578125,True,lstm,0.5177106857299805
453,query_134,ext_tpcds1000#065#002,1778868881242,autoslo-4-1778868881242-0,4,218,3646.770263671875,3163.5048828125,,,0.8674812912940979,483.265380859375,True,lstm,0.14216136932373047
393,query_149,ext_tpcds1000#005#001,1778868881242,autoslo-4-1778868881242-0,4,206,3646.349609375,2589.85302734375,,,0.7102591395378113,1056.49658203125,True,lstm,0.34212541580200195
1033,query_77,ext_tpcds1000#097#001,1778846572149,autoslo-4-1778846572149-0,4,159,3635.973876953125,2590.4482421875,,,0.7124496102333069,1045.525634765625,True,lstm,0.33904600143432617
1896,query_90,ext_tpcds1000#075#002,1778846572149,autoslo-4-1778846572149-0,4,156,3632.1025390625,3167.65283203125,,,0.8721264600753784,464.44970703125,True,lstm,0.13682079315185547
3175,query_215,ext_tpcds1000#089#002,1778861305520,autoslo-4-1778861305520-0,4,250,3623.80224609375,4598.77880859375,,,1.2690479755401611,0.0,True,lstm,0.0
2695,query_111,ext_tpcds1000#024#001,1778868881242,autoslo-4-1778868881242-0,4,233,3621.31494140625,3550.2158203125,,,0.9803664684295654,71.09912109375,True,lstm,0.01982879638671875
3653,query_92,ext_tpcds1000#009#001,1778861305520,autoslo-4-1778861305520-0,4,266,3617.593994140625,4695.5185546875,,,1.2979673147201538,0.0,True,lstm,0.0
1768,query_222,ext_tpcds1000#093#001,1778861305520,autoslo-4-1778861305520-0,4,248,3617.193603515625,3831.36181640625,,,1.0592083930969238,0.0,True,lstm,0.0
1317,query_71,ext_tpcds1000#028#001,1778846572149,autoslo-4-1778846572149-0,4,165,3612.226318359375,3244.890625,,,0.8983076810836792,367.335693359375,True,lstm,0.10724258422851562
2248,query_65,ext_tpcds1000#009#002,1778846572149,autoslo-4-1778846572149-0,4,169,3611.712890625,3631.68359375,,,1.0055294036865234,0.0,True,lstm,0.0
1671,query_85,ext_tpcds1000#028#002,1778861305520,autoslo-4-1778861305520-0,4,269,3609.71240234375,3761.358154296875,,,1.0420104265213013,0.0,True,lstm,0.0
2568,query_64,ext_tpcds1000#028#003,1778861305520,autoslo-4-1778861305520-0,4,277,3609.075439453125,3914.828369140625,,,1.0847177505493164,0.0,True,lstm,0.0
