,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,factor_error,underprediction_error_s,target_is_lower_bound,model_source,individual_loss
4518,query_80,ext_tpcds1000#024#003,1778861305520,autoslo-4-1778861305520-0,4,269,3697.305908203125,4658.57763671875,,,1.2599924802780151,0.0,True,lstm,0.0
3398,query_10,ext_tpcds1000#044#003,1781489438980,autoslo-4-1781489438980-0,4,296,3679.21240234375,591.1166381835938,,,0.160663902759552,3088.095703125,True,lstm,1.8284406661987305
6021,query_255,ext_tpcds1000#023#001,1781484238915,autoslo-4-1781484238915-0,4,277,3661.546142578125,7608.390625,,,2.0779173374176025,0.0,True,lstm,0.0
7042,query_28,ext_tpcds1000#009#003,1781478035304,autoslo-4-1781478035304-0,4,296,3652.314697265625,3485.16943359375,,,0.9542357921600342,167.145263671875,True,lstm,0.046844482421875
7112,query_149,ext_tpcds1000#005#001,1778868881242,autoslo-4-1778868881242-0,4,206,3646.349609375,3439.45166015625,,,0.9432588815689087,206.89794921875,True,lstm,0.058414459228515625
2672,query_80,ext_tpcds1000#016#001,1778846572149,autoslo-4-1778846572149-0,4,158,3638.8251953125,3256.84228515625,,,0.8950257301330566,381.98291015625,True,lstm,0.11090278625488281
236,query_241,ext_tpcds1000#087#003,1781478035304,autoslo-4-1781478035304-0,4,258,3637.5380859375,4347.52587890625,,,1.1951836347579956,0.0,True,lstm,0.0
206,query_77,ext_tpcds1000#097#001,1778846572149,autoslo-4-1778846572149-0,4,159,3635.973876953125,2476.53515625,,,0.6811201572418213,1159.438720703125,True,lstm,0.3840165138244629
1297,query_90,ext_tpcds1000#075#002,1778846572149,autoslo-4-1778846572149-0,4,156,3632.1025390625,4302.59619140625,,,1.1846020221710205,0.0,True,lstm,0.0
4817,query_161,ext_tpcds1000#028#002,1778846572149,autoslo-4-1778846572149-0,4,137,3628.595458984375,4939.3623046875,,,1.3612325191497803,0.0,True,lstm,0.0
6410,query_23,ext_tpcds1000#069#003,1781489438980,autoslo-4-1781489438980-0,4,296,3628.194091796875,1960.4910888671875,,,0.540349006652832,1667.7030029296875,True,lstm,0.6155400276184082
7908,query_273,ext_tpcds1000#025#003,1781478035304,autoslo-4-1781478035304-0,4,255,3628.031494140625,3567.031982421875,,,0.9831866025924683,60.99951171875,True,lstm,0.016956329345703125
1097,query_151,ext_tpcds1000#023#002,1778868881242,autoslo-4-1778868881242-0,4,205,3627.7373046875,8300.0068359375,,,2.2879292964935303,0.0,True,lstm,0.0
8455,query_183,ext_tpcds1000#046#003,1781478035304,autoslo-4-1781478035304-0,4,264,3627.57470703125,3123.95751953125,,,0.8611697554588318,503.6171875,True,lstm,0.14946365356445312
2956,query_185,ext_tpcds1000#050#003,1781478035304,autoslo-4-1781478035304-0,4,264,3624.956787109375,4240.41357421875,,,1.1697832345962524,0.0,True,lstm,0.0
3210,query_4,ext_tpcds1000#078#002,1778868881242,autoslo-4-1778868881242-0,4,164,3624.15478515625,3352.990966796875,,,0.9251787662506104,271.163818359375,True,lstm,0.07776832580566406
1006,query_230,ext_tpcds1000#094#001,1778861305520,autoslo-4-1778861305520-0,4,245,3623.805908203125,5332.03173828125,,,1.4713900089263916,0.0,True,lstm,0.0
8045,query_215,ext_tpcds1000#089#002,1778861305520,autoslo-4-1778861305520-0,4,250,3623.80224609375,5285.33837890625,,,1.4585063457489014,0.0,True,lstm,0.0
4716,query_27,ext_tpcds1000#047#002,1781489438980,autoslo-4-1781489438980-0,4,296,3621.736328125,1827.5955810546875,,,0.5046186447143555,1794.1407470703125,True,lstm,0.6839523315429688
1802,query_111,ext_tpcds1000#024#001,1778868881242,autoslo-4-1778868881242-0,4,233,3621.31494140625,5195.5869140625,,,1.4347238540649414,0.0,True,lstm,0.0
326,query_64,ext_tpcds1000#028#003,1781489438980,autoslo-4-1781489438980-0,4,291,3619.06396484375,5401.4375,,,1.4924957752227783,0.0,True,lstm,0.0
8648,query_92,ext_tpcds1000#009#001,1778861305520,autoslo-4-1778861305520-0,4,266,3617.593994140625,4239.5478515625,,,1.1719247102737427,0.0,True,lstm,0.0
5007,query_140,ext_tpcds1000#072#001,1778868881242,autoslo-4-1778868881242-0,4,209,3616.976318359375,4247.9501953125,,,1.1744478940963745,0.0,True,lstm,0.0
1379,query_80,ext_tpcds1000#024#003,1781484238915,autoslo-4-1781484238915-0,4,290,3616.803955078125,5118.18896484375,,,1.4151136875152588,0.0,True,lstm,0.0
2819,query_34,ext_tpcds1000#065#001,1781489438980,autoslo-4-1781489438980-0,4,296,3616.67626953125,1629.8287353515625,,,0.4506427049636841,1986.8475341796875,True,lstm,0.7970805168151855
5381,query_225,ext_tpcds1000#072#002,1781478035304,autoslo-4-1781478035304-0,4,258,3616.45556640625,5092.43310546875,,,1.408128261566162,0.0,True,lstm,0.0
7461,query_67,ext_tpcds1000#016#002,1781489438980,autoslo-4-1781489438980-0,4,291,3615.814208984375,4983.27490234375,,,1.3781888484954834,0.0,True,lstm,0.0
5737,query_71,ext_tpcds1000#028#001,1778846572149,autoslo-4-1778846572149-0,4,165,3612.226318359375,3483.534423828125,,,0.9643732309341431,128.69189453125,True,lstm,0.036276817321777344
3594,query_85,ext_tpcds1000#095#001,1778846572149,autoslo-4-1778846572149-0,4,157,3609.757080078125,3089.214599609375,,,0.855795681476593,520.54248046875,True,lstm,0.15572357177734375
6086,query_85,ext_tpcds1000#028#002,1778861305520,autoslo-4-1778861305520-0,4,269,3609.71240234375,3726.43212890625,,,1.0323349237442017,0.0,True,lstm,0.0
916,query_262,ext_tpcds1000#016#003,1781494395969,autoslo-4-1781494395969-0,4,136,3608.624755859375,4351.44189453125,,,1.2058448791503906,0.0,True,lstm,0.0
1069,query_285,ext_tpcds1000#097#003,1781522879274,autoslo-4-1781522879274-0,4,175,3608.277099609375,4276.810546875,,,1.1852777004241943,0.0,True,lstm,0.0
5453,query_279,ext_tpcds1000#064#001,1781504195418,autoslo-4-1781504195418-0,4,169,3608.204833984375,6235.31689453125,,,1.7280939817428589,0.0,True,lstm,0.0
7043,query_218,ext_tpcds1000#078#003,1781489438980,autoslo-4-1781489438980-0,4,289,3607.984619140625,6850.38330078125,,,1.8986730575561523,0.0,True,lstm,0.0
3756,query_133,ext_tpcds1000#030#002,1778846572149,autoslo-4-1778846572149-0,4,138,3607.33447265625,2990.034912109375,,,0.8288765549659729,617.299560546875,True,lstm,0.1876840591430664
3661,query_62,ext_tpcds1000#004#001,1778846572149,autoslo-4-1778846572149-0,4,169,3607.179443359375,3904.2060546875,,,1.0823432207107544,0.0,True,lstm,0.0
878,query_144,ext_tpcds1000#063#001,1778846572149,autoslo-4-1778846572149-0,4,137,3607.000732421875,2857.93798828125,,,0.7923308610916138,749.062744140625,True,lstm,0.23277616500854492
7692,query_288,ext_tpcds1000#005#002,1781478035304,autoslo-4-1781478035304-0,4,254,3606.839111328125,5110.0390625,,,1.4167637825012207,0.0,True,lstm,0.0
5133,query_260,ext_tpcds1000#072#003,1781513174670,autoslo-4-1781513174670-0,4,140,3606.83544921875,4134.71728515625,,,1.1463559865951538,0.0,True,lstm,0.0
6884,query_252,ext_tpcds1000#087#001,1781478035304,autoslo-4-1781478035304-0,4,257,3606.80810546875,4473.2626953125,,,1.2402275800704956,0.0,True,lstm,0.0
2699,query_2,ext_tpcds1000#004#001,1778827732917,autoslo-4-1778827732917-0,4,130,3606.759765625,3298.905517578125,,,0.9146451950073242,307.854248046875,True,lstm,0.0892190933227539
2117,query_186,ext_tpcds1000#043#001,1781489438980,autoslo-4-1781489438980-0,4,289,3606.587890625,7044.23193359375,,,1.95315682888031,0.0,True,lstm,0.0
2468,query_4,ext_tpcds1000#078#002,1778861305520,autoslo-4-1778861305520-0,4,295,3606.295654296875,3825.14794921875,,,1.0606862306594849,0.0,True,lstm,0.0
6702,query_158,ext_tpcds1000#064#001,1781504195418,autoslo-4-1781504195418-0,4,228,3606.144287109375,7603.6904296875,,,2.108537435531616,0.0,True,lstm,0.0
2662,query_267,ext_tpcds1000#043#003,1781489438980,autoslo-4-1781489438980-0,4,287,3605.9482421875,5395.91845703125,,,1.4963937997817993,0.0,True,lstm,0.0
7945,query_173,ext_tpcds1000#067#002,1778861305520,autoslo-4-1778861305520-0,4,250,3605.332763671875,4662.5068359375,,,1.2932250499725342,0.0,True,lstm,0.0
8454,query_230,ext_tpcds1000#094#001,1781488939845,autoslo-8-1781488939845-0,8,280,3605.329345703125,4148.56494140625,,,1.1506757736206055,0.0,True,lstm,0.0
5314,query_199,ext_tpcds1000#071#001,1781489438980,autoslo-4-1781489438980-0,4,289,3605.1435546875,5013.85986328125,,,1.390751838684082,0.0,True,lstm,0.0
3078,query_232,ext_tpcds1000#094#003,1781483786331,autoslo-8-1781483786331-0,8,267,3605.006103515625,3993.671142578125,,,1.1078126430511475,0.0,True,lstm,0.0
7594,query_97,ext_tpcds1000#023#003,1778861305520,autoslo-4-1778861305520-0,4,266,3604.7998046875,6938.09033203125,,,1.9246811866760254,0.0,True,lstm,0.0
2411,query_178,ext_tpcds1000#025#003,1781504195418,autoslo-4-1781504195418-0,4,228,3604.71044921875,4120.94677734375,,,1.1432116031646729,0.0,True,lstm,0.0
8326,query_135,ext_tpcds1000#004#002,1781484238915,autoslo-4-1781484238915-0,4,289,3604.397705078125,7889.62451171875,,,2.1888885498046875,0.0,True,lstm,0.0
7463,query_188,ext_tpcds1000#024#002,1781489438980,autoslo-4-1781489438980-0,4,289,3604.3701171875,6390.25439453125,,,1.772918462753296,0.0,True,lstm,0.0
1739,query_218,ext_tpcds1000#078#003,1778861305520,autoslo-4-1778861305520-0,4,249,3604.20166015625,5846.8779296875,,,1.622239351272583,0.0,True,lstm,0.0
8329,query_255,ext_tpcds1000#023#001,1781478035304,autoslo-4-1781478035304-0,4,257,3604.18115234375,7887.826171875,,,2.188520908355713,0.0,True,lstm,0.0
2986,query_231,ext_tpcds1000#097#001,1781483786331,autoslo-8-1781483786331-0,8,267,3604.1259765625,3339.836181640625,,,0.9266701936721802,264.289794921875,True,lstm,0.0761575698852539
5352,query_207,ext_tpcds1000#031#003,1781478035304,autoslo-4-1781478035304-0,4,261,3603.988525390625,4277.78564453125,,,1.1869587898254395,0.0,True,lstm,0.0
4364,query_147,ext_tpcds1000#009#003,1781504195418,autoslo-4-1781504195418-0,4,230,3603.919921875,4075.590087890625,,,1.1308770179748535,0.0,True,lstm,0.0
2380,query_182,ext_tpcds1000#095#003,1781504195418,autoslo-4-1781504195418-0,4,228,3603.899169921875,3693.9716796875,,,1.0249930620193481,0.0,True,lstm,0.0
