,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,factor_error,underprediction_error_s,target_is_lower_bound,model_source,individual_loss
1697,query_80,ext_tpcds1000#024#003,1778861305520,autoslo-4-1778861305520-0,4,269,3697.305908203125,4108.884,,,1.1113183,0.0,True,lstm,0.0
10497,query_4,ext_tpcds1000#078#002,1781489438980,autoslo-4-1781489438980-0,4,296,3683.7626953125,1803.1813,,,0.4894944,1880.5814208984375,True,lstm,0.7143822
6497,query_6,ext_tpcds1000#075#003,1781489438980,autoslo-4-1781489438980-0,4,296,3681.514892578125,1052.9264,,,0.28600356,2628.58837890625,True,lstm,1.251751
10368,query_10,ext_tpcds1000#044#003,1781489438980,autoslo-4-1781489438980-0,4,296,3679.21240234375,478.8159,,,0.13014087,3200.396484375,True,lstm,2.0391378
7649,query_255,ext_tpcds1000#023#001,1781484238915,autoslo-4-1781484238915-0,4,277,3661.546142578125,6321.687,,,1.7265075,0.0,True,lstm,0.0
8640,query_28,ext_tpcds1000#009#003,1781478035304,autoslo-4-1781478035304-0,4,296,3652.314697265625,2296.7812,,,0.62885636,1355.533447265625,True,lstm,0.4638524
2602,query_132,ext_tpcds1000#087#002,1778846572149,autoslo-4-1778846572149-0,4,138,3651.69482421875,3318.374,,,0.9087216,333.32080078125,True,lstm,0.09571648
2343,query_161,ext_tpcds1000#009#002,1781478035304,autoslo-4-1781478035304-0,4,266,3650.68505859375,5571.527,,,1.5261593,0.0,True,lstm,0.0
8676,query_134,ext_tpcds1000#065#002,1778868881242,autoslo-4-1778868881242-0,4,218,3646.770263671875,4987.178,,,1.3675603,0.0,True,lstm,0.0
6470,query_80,ext_tpcds1000#016#001,1778846572149,autoslo-4-1778846572149-0,4,158,3638.8251953125,3058.1257,,,0.84041566,580.699462890625,True,lstm,0.17385864
9540,query_241,ext_tpcds1000#087#003,1781478035304,autoslo-4-1781478035304-0,4,258,3637.5380859375,4667.2803,,,1.2830877,0.0,True,lstm,0.0
9797,query_77,ext_tpcds1000#097#001,1778846572149,autoslo-4-1778846572149-0,4,159,3635.973876953125,2609.4312,,,0.7176705,1026.542724609375,True,lstm,0.33174467
421,query_243,ext_tpcds1000#038#002,1781478035304,autoslo-4-1781478035304-0,4,258,3631.4306640625,4417.9146,,,1.2165768,0.0,True,lstm,0.0
8266,query_161,ext_tpcds1000#028#002,1778846572149,autoslo-4-1778846572149-0,4,137,3628.595458984375,5119.6147,,,1.4109081,0.0,True,lstm,0.0
6720,query_23,ext_tpcds1000#069#003,1781489438980,autoslo-4-1781489438980-0,4,296,3628.194091796875,1264.3392,,,0.34847617,2363.85498046875,True,lstm,1.0541854
8929,query_273,ext_tpcds1000#025#003,1781478035304,autoslo-4-1781478035304-0,4,255,3628.031494140625,4287.6206,,,1.1818036,0.0,True,lstm,0.0
9317,query_151,ext_tpcds1000#023#002,1778868881242,autoslo-4-1778868881242-0,4,205,3627.7373046875,7622.4004,,,2.1011446,0.0,True,lstm,0.0
2658,query_183,ext_tpcds1000#046#003,1781478035304,autoslo-4-1781478035304-0,4,264,3627.57470703125,3163.0857,,,0.87195605,464.489013671875,True,lstm,0.1370163
9025,query_201,ext_tpcds1000#008#003,1778861305520,autoslo-4-1778861305520-0,4,250,3627.152587890625,4723.022,,,1.3021294,0.0,True,lstm,0.0
2081,query_271,ext_tpcds1000#028#001,1781484238915,autoslo-4-1781484238915-0,4,275,3624.300048828125,8107.776,,,2.2370598,0.0,True,lstm,0.0
7333,query_4,ext_tpcds1000#078#002,1778868881242,autoslo-4-1778868881242-0,4,164,3624.15478515625,3814.6055,,,1.0525503,0.0,True,lstm,0.0
673,query_230,ext_tpcds1000#094#001,1778861305520,autoslo-4-1778861305520-0,4,245,3623.805908203125,4892.733,,,1.3501642,0.0,True,lstm,0.0
8898,query_215,ext_tpcds1000#089#002,1778861305520,autoslo-4-1778861305520-0,4,250,3623.80224609375,5388.154,,,1.4868785,0.0,True,lstm,0.0
3936,query_27,ext_tpcds1000#047#002,1781489438980,autoslo-4-1781489438980-0,4,296,3621.736328125,1912.4883,,,0.5280584,1709.248046875,True,lstm,0.6385484
9638,query_140,ext_tpcds1000#072#001,1778868881242,autoslo-4-1778868881242-0,4,209,3616.976318359375,4235.7935,,,1.1710869,0.0,True,lstm,0.0
8289,query_80,ext_tpcds1000#024#003,1781484238915,autoslo-4-1781484238915-0,4,290,3616.803955078125,4785.349,,,1.3230878,0.0,True,lstm,0.0
6400,query_34,ext_tpcds1000#065#001,1781489438980,autoslo-4-1781489438980-0,4,296,3616.67626953125,1221.4509,,,0.33772746,2395.225341796875,True,lstm,1.085516
3651,query_173,ext_tpcds1000#067#002,1781478035304,autoslo-4-1781478035304-0,4,264,3616.07958984375,4775.356,,,1.3205893,0.0,True,lstm,0.0
2176,query_68,ext_tpcds1000#095#001,1781489438980,autoslo-4-1781489438980-0,4,291,3615.22802734375,3113.6426,,,0.8612576,501.58544921875,True,lstm,0.14936161
2312,query_227,ext_tpcds1000#072#001,1781522879274,autoslo-4-1781522879274-0,4,216,3612.560302734375,3997.653,,,1.1065983,0.0,True,lstm,0.0
4107,query_65,ext_tpcds1000#009#002,1778846572149,autoslo-4-1778846572149-0,4,169,3611.712890625,2796.9666,,,0.77441555,814.746337890625,True,lstm,0.2556467
4165,query_85,ext_tpcds1000#095#001,1778846572149,autoslo-4-1778846572149-0,4,157,3609.757080078125,3078.2275,,,0.852752,531.529541015625,True,lstm,0.1592865
1282,query_85,ext_tpcds1000#028#002,1778861305520,autoslo-4-1778861305520-0,4,269,3609.71240234375,4358.074,,,1.2073189,0.0,True,lstm,0.0
6914,query_64,ext_tpcds1000#028#003,1778861305520,autoslo-4-1778861305520-0,4,277,3609.075439453125,3989.636,,,1.1054454,0.0,True,lstm,0.0
9953,query_189,ext_tpcds1000#076#002,1781478035304,autoslo-4-1781478035304-0,4,264,3608.765869140625,4508.42,,,1.2492969,0.0,True,lstm,0.0
8709,query_119,ext_tpcds1000#079#001,1778868881242,autoslo-4-1778868881242-0,4,230,3608.572998046875,3904.8057,,,1.0820913,0.0,True,lstm,0.0
3403,query_285,ext_tpcds1000#097#003,1781522879274,autoslo-4-1781522879274-0,4,175,3608.277099609375,5384.388,,,1.4922324,0.0,True,lstm,0.0
1225,query_279,ext_tpcds1000#064#001,1781504195418,autoslo-4-1781504195418-0,4,169,3608.204833984375,6012.347,,,1.6662987,0.0,True,lstm,0.0
4353,query_218,ext_tpcds1000#078#003,1781489438980,autoslo-4-1781489438980-0,4,289,3607.984619140625,13560.345,,,3.7584264,0.0,True,lstm,0.0
5994,query_133,ext_tpcds1000#030#002,1778846572149,autoslo-4-1778846572149-0,4,138,3607.33447265625,3155.126,,,0.87464195,452.20849609375,True,lstm,0.1339407
5579,query_144,ext_tpcds1000#063#001,1778846572149,autoslo-4-1778846572149-0,4,137,3607.000732421875,3515.5803,,,0.97465473,91.42041015625,True,lstm,0.025671959
2784,query_196,ext_tpcds1000#061#002,1781489438980,autoslo-4-1781489438980-0,4,289,3606.9111328125,5933.3145,,,1.644985,0.0,True,lstm,0.0
9895,query_279,ext_tpcds1000#064#001,1781522879274,autoslo-4-1781522879274-0,4,190,3606.859619140625,5603.0713,,,1.5534487,0.0,True,lstm,0.0
2023,query_288,ext_tpcds1000#005#002,1781478035304,autoslo-4-1781478035304-0,4,254,3606.839111328125,4000.727,,,1.1092058,0.0,True,lstm,0.0
10345,query_260,ext_tpcds1000#072#003,1781513174670,autoslo-4-1781513174670-0,4,140,3606.83544921875,3503.6216,,,0.9713838,103.2138671875,True,lstm,0.02903366
4169,query_2,ext_tpcds1000#004#001,1778827732917,autoslo-4-1778827732917-0,4,130,3606.759765625,3242.4006,,,0.8989788,364.359130859375,True,lstm,0.10649586
7942,query_246,ext_tpcds1000#076#003,1781513174670,autoslo-4-1781513174670-0,4,151,3606.629150390625,3750.8196,,,1.0399792,0.0,True,lstm,0.0
8844,query_269,ext_tpcds1000#093#001,1781494395969,autoslo-4-1781494395969-0,4,135,3606.587890625,4201.6562,,,1.1649948,0.0,True,lstm,0.0
10272,query_186,ext_tpcds1000#043#001,1781489438980,autoslo-4-1781489438980-0,4,289,3606.587890625,7500.698,,,2.0797215,0.0,True,lstm,0.0
481,query_4,ext_tpcds1000#078#002,1778861305520,autoslo-4-1778861305520-0,4,295,3606.295654296875,3965.783,,,1.0996833,0.0,True,lstm,0.0
2694,query_158,ext_tpcds1000#064#001,1781504195418,autoslo-4-1781504195418-0,4,228,3606.144287109375,5302.099,,,1.4702959,0.0,True,lstm,0.0
2433,query_267,ext_tpcds1000#043#003,1781489438980,autoslo-4-1781489438980-0,4,287,3605.9482421875,4703.182,,,1.3042845,0.0,True,lstm,0.0
8164,query_210,ext_tpcds1000#088#002,1778868881242,autoslo-4-1778868881242-0,4,174,3605.927490234375,5155.715,,,1.4297888,0.0,True,lstm,0.0
7298,query_101,ext_tpcds1000#078#003,1781513174670,autoslo-4-1781513174670-0,4,243,3605.487548828125,6922.4067,,,1.9199641,0.0,True,lstm,0.0
4805,query_135,ext_tpcds1000#004#002,1778868881242,autoslo-4-1778868881242-0,4,217,3605.415283203125,4922.3535,,,1.3652667,0.0,True,lstm,0.0
2822,query_173,ext_tpcds1000#067#002,1778861305520,autoslo-4-1778861305520-0,4,250,3605.332763671875,4545.4526,,,1.2607582,0.0,True,lstm,0.0
5696,query_230,ext_tpcds1000#094#001,1781488939845,autoslo-8-1781488939845-0,8,280,3605.329345703125,3835.9062,,,1.0639545,0.0,True,lstm,0.0
740,query_232,ext_tpcds1000#094#003,1781483786331,autoslo-8-1781483786331-0,8,267,3605.006103515625,3814.2527,,,1.0580434,0.0,True,lstm,0.0
32,query_97,ext_tpcds1000#023#003,1778861305520,autoslo-4-1778861305520-0,4,266,3604.7998046875,5364.0923,,,1.4880416,0.0,True,lstm,0.0
5763,query_176,ext_tpcds1000#099#002,1781478035304,autoslo-4-1781478035304-0,4,264,3604.720703125,5037.455,,,1.3974606,0.0,True,lstm,0.0
4678,query_178,ext_tpcds1000#025#003,1781504195418,autoslo-4-1781504195418-0,4,228,3604.71044921875,4808.5063,,,1.3339508,0.0,True,lstm,0.0
6217,query_267,ext_tpcds1000#005#002,1781494395969,autoslo-4-1781494395969-0,4,135,3604.69677734375,4048.4153,,,1.1230946,0.0,True,lstm,0.0
10407,query_235,ext_tpcds1000#028#003,1781513174670,autoslo-4-1781513174670-0,4,155,3604.497314453125,4069.1782,,,1.128917,0.0,True,lstm,0.0
961,query_97,ext_tpcds1000#023#003,1781478035304,autoslo-4-1781478035304-0,4,278,3604.45947265625,5223.623,,,1.4492112,0.0,True,lstm,0.0
352,query_135,ext_tpcds1000#004#002,1781484238915,autoslo-4-1781484238915-0,4,289,3604.397705078125,11208.467,,,3.1096642,0.0,True,lstm,0.0
3520,query_188,ext_tpcds1000#024#002,1781489438980,autoslo-4-1781489438980-0,4,289,3604.3701171875,7814.055,,,2.1679392,0.0,True,lstm,0.0
3269,query_255,ext_tpcds1000#023#001,1781478035304,autoslo-4-1781478035304-0,4,257,3604.18115234375,7038.101,,,1.9527601,0.0,True,lstm,0.0
423,query_129,ext_tpcds1000#078#002,1781494395969,autoslo-4-1781494395969-0,4,230,3603.998779296875,7449.94,,,2.0671318,0.0,True,lstm,0.0
7812,query_147,ext_tpcds1000#009#003,1781504195418,autoslo-4-1781504195418-0,4,230,3603.919921875,3749.5571,,,1.0404108,0.0,True,lstm,0.0
5096,query_182,ext_tpcds1000#095#003,1781504195418,autoslo-4-1781504195418-0,4,228,3603.899169921875,4044.3018,,,1.1222017,0.0,True,lstm,0.0
4675,query_231,ext_tpcds1000#097#001,1781488939845,autoslo-8-1781488939845-0,8,280,3603.6484375,4451.469,,,1.2352674,0.0,True,lstm,0.0
5985,query_220,ext_tpcds1000#099#003,1778861305520,autoslo-4-1778861305520-0,4,248,3603.50732421875,5553.5166,,,1.541142,0.0,True,lstm,0.0
68,query_147,ext_tpcds1000#009#003,1781494395969,autoslo-4-1781494395969-0,4,226,3603.50732421875,3682.7615,,,1.0219936,0.0,True,lstm,0.0
9440,query_218,ext_tpcds1000#078#003,1781483786331,autoslo-8-1781483786331-0,8,267,3603.376953125,4027.2478,,,1.1176316,0.0,True,lstm,0.0
712,query_179,ext_tpcds1000#078#003,1781494395969,autoslo-4-1781494395969-0,4,203,3603.270263671875,7143.919,,,1.982621,0.0,True,lstm,0.0
9543,query_275,ext_tpcds1000#090#001,1778861305520,autoslo-4-1778861305520-0,4,226,3603.1982421875,4023.6277,,,1.1166823,0.0,True,lstm,0.0
9765,query_189,ext_tpcds1000#095#003,1781522879274,autoslo-4-1781522879274-0,4,225,3603.174072265625,3789.7852,,,1.0517907,0.0,True,lstm,0.0
2350,query_150,ext_tpcds1000#079#001,1778846572149,autoslo-4-1778846572149-0,4,137,3603.060791015625,2778.2642,,,0.7710844,824.796630859375,True,lstm,0.2599573
2593,query_85,ext_tpcds1000#028#002,1781489438980,autoslo-4-1781489438980-0,4,290,3602.93017578125,5363.765,,,1.488723,0.0,True,lstm,0.0
3110,query_179,ext_tpcds1000#078#003,1781504195418,autoslo-4-1781504195418-0,4,228,3602.906005859375,8013.5317,,,2.2241857,0.0,True,lstm,0.0
10212,query_132,ext_tpcds1000#075#002,1781494395969,autoslo-4-1781494395969-0,4,230,3602.85107421875,5290.301,,,1.4683651,0.0,True,lstm,0.0
3720,query_246,ext_tpcds1000#076#003,1781494395969,autoslo-4-1781494395969-0,4,145,3602.792724609375,3317.5989,,,0.9208409,285.19384765625,True,lstm,0.08246803
7268,query_33,ext_tpcds1000#004#002,1781522879274,autoslo-4-1781522879274-0,4,267,3602.703369140625,3876.1958,,,1.0759131,0.0,True,lstm,0.0
9959,query_222,ext_tpcds1000#024#001,1781494395969,autoslo-4-1781494395969-0,4,165,3602.65185546875,5310.819,,,1.4741416,0.0,True,lstm,0.0
7209,query_259,ext_tpcds1000#066#003,1781513174670,autoslo-4-1781513174670-0,4,140,3602.5556640625,3426.6243,,,0.95116484,175.931396484375,True,lstm,0.0500679
9060,query_126,ext_tpcds1000#059#002,1781522879274,autoslo-4-1781522879274-0,4,235,3602.524658203125,3610.6384,,,1.0022522,0.0,True,lstm,0.0
6946,query_232,ext_tpcds1000#094#003,1781488939845,autoslo-8-1781488939845-0,8,280,3602.497314453125,3999.7925,,,1.1102833,0.0,True,lstm,0.0
1769,query_130,ext_tpcds1000#004#001,1778833176612,autoslo-4-1778833176612-0,4,159,3602.45263671875,5170.191,,,1.4351864,0.0,True,lstm,0.0
2531,query_147,ext_tpcds1000#009#003,1781513174670,autoslo-4-1781513174670-0,4,231,3602.39404296875,3451.478,,,0.95810676,150.916015625,True,lstm,0.042796135
7656,query_274,ext_tpcds1000#028#001,1781494395969,autoslo-4-1781494395969-0,4,133,3602.2841796875,4368.1187,,,1.2125969,0.0,True,lstm,0.0
8548,query_270,ext_tpcds1000#014#003,1781494395969,autoslo-4-1781494395969-0,4,134,3602.2841796875,7929.535,,,2.201252,0.0,True,lstm,0.0
2721,query_210,ext_tpcds1000#088#002,1781483786331,autoslo-8-1781483786331-0,8,267,3602.205078125,4446.378,,,1.2343489,0.0,True,lstm,0.0
1771,query_256,ext_tpcds1000#075#003,1781494395969,autoslo-4-1781494395969-0,4,138,3602.177734375,5800.3594,,,1.6102369,0.0,True,lstm,0.0
7587,query_155,ext_tpcds1000#067#001,1778861305520,autoslo-4-1778861305520-0,4,254,3602.1708984375,3491.0608,,,0.96915466,111.110107421875,True,lstm,0.031331062
772,query_213,ext_tpcds1000#076#003,1781513174670,autoslo-4-1781513174670-0,4,196,3602.136474609375,4042.6975,,,1.1223055,0.0,True,lstm,0.0
549,query_241,ext_tpcds1000#087#003,1781483786331,autoslo-8-1781483786331-0,8,267,3602.08154296875,2909.5835,,,0.8077506,692.498046875,True,lstm,0.21350193
1770,query_239,ext_tpcds1000#094#001,1781513174670,autoslo-4-1781513174670-0,4,154,3602.023193359375,4055.4946,,,1.1258936,0.0,True,lstm,0.0
5634,query_235,ext_tpcds1000#051#002,1781483786331,autoslo-8-1781483786331-0,8,267,3601.97509765625,3961.7722,,,1.0998888,0.0,True,lstm,0.0
5923,query_279,ext_tpcds1000#005#003,1781478035304,autoslo-4-1781478035304-0,4,255,3601.933837890625,4651.6787,,,1.2914393,0.0,True,lstm,0.0
3979,query_266,ext_tpcds1000#072#003,1781513174670,autoslo-4-1781513174670-0,4,138,3601.88916015625,3664.3547,,,1.0173424,0.0,True,lstm,0.0
8356,query_228,ext_tpcds1000#064#003,1781494395969,autoslo-4-1781494395969-0,4,156,3601.837646484375,6122.9253,,,1.6999449,0.0,True,lstm,0.0
