,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,factor_error,underprediction_error_s,target_is_lower_bound,model_source,individual_loss
4514,query_80,ext_tpcds1000#024#003,1778861305520,autoslo-4-1778861305520-0,4,269,3697.305908203125,4738.9443,,,1.281729,0.0,True,lstm,0.0
3392,query_10,ext_tpcds1000#044#003,1781489438980,autoslo-4-1781489438980-0,4,296,3679.21240234375,562.6766,,,0.15293397,3116.535888671875,True,lstm,1.877749
6016,query_255,ext_tpcds1000#023#001,1781484238915,autoslo-4-1781484238915-0,4,277,3661.546142578125,9235.956,,,2.5224197,0.0,True,lstm,0.0
7040,query_28,ext_tpcds1000#009#003,1781478035304,autoslo-4-1781478035304-0,4,296,3652.314697265625,2229.327,,,0.6103874,1422.98779296875,True,lstm,0.4936614
7110,query_149,ext_tpcds1000#005#001,1778868881242,autoslo-4-1778868881242-0,4,206,3646.349609375,3986.89,,,1.0933921,0.0,True,lstm,0.0
2667,query_80,ext_tpcds1000#016#001,1778846572149,autoslo-4-1778846572149-0,4,158,3638.8251953125,3779.7942,,,1.0387403,0.0,True,lstm,0.0
229,query_241,ext_tpcds1000#087#003,1781478035304,autoslo-4-1781478035304-0,4,258,3637.5380859375,4392.963,,,1.2076747,0.0,True,lstm,0.0
200,query_77,ext_tpcds1000#097#001,1778846572149,autoslo-4-1778846572149-0,4,159,3635.973876953125,3459.5947,,,0.9514905,176.379150390625,True,lstm,0.049725533
1289,query_90,ext_tpcds1000#075#002,1778846572149,autoslo-4-1778846572149-0,4,156,3632.1025390625,4397.1294,,,1.2106292,0.0,True,lstm,0.0
4811,query_161,ext_tpcds1000#028#002,1778846572149,autoslo-4-1778846572149-0,4,137,3628.595458984375,5090.127,,,1.4027816,0.0,True,lstm,0.0
6400,query_23,ext_tpcds1000#069#003,1781489438980,autoslo-4-1781489438980-0,4,296,3628.194091796875,2511.7642,,,0.6922905,1116.429931640625,True,lstm,0.3677497
7906,query_273,ext_tpcds1000#025#003,1781478035304,autoslo-4-1781478035304-0,4,255,3628.031494140625,3713.391,,,1.0235279,0.0,True,lstm,0.0
1094,query_151,ext_tpcds1000#023#002,1778868881242,autoslo-4-1778868881242-0,4,205,3627.7373046875,7252.967,,,1.9993087,0.0,True,lstm,0.0
