,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,factor_error,underprediction_error_s,target_is_lower_bound,model_source,individual_loss
4514,query_80,ext_tpcds1000#024#003,1778861305520,autoslo-4-1778861305520-0,4,269,3697.305908203125,4543.572,,,1.2288872,0.0,True,lstm,0.0
3392,query_10,ext_tpcds1000#044#003,1781489438980,autoslo-4-1781489438980-0,4,296,3679.21240234375,446.66016,,,0.12140103,3232.55224609375,True,lstm,2.108656
6016,query_255,ext_tpcds1000#023#001,1781484238915,autoslo-4-1781484238915-0,4,277,3661.546142578125,3255.5505,,,0.8891191,405.99560546875,True,lstm,0.11752415
7040,query_28,ext_tpcds1000#009#003,1781478035304,autoslo-4-1781478035304-0,4,296,3652.314697265625,2332.7302,,,0.6386991,1319.58447265625,True,lstm,0.44832182
7110,query_149,ext_tpcds1000#005#001,1778868881242,autoslo-4-1778868881242-0,4,206,3646.349609375,3806.8755,,,1.0440238,0.0,True,lstm,0.0
2667,query_80,ext_tpcds1000#016#001,1778846572149,autoslo-4-1778846572149-0,4,158,3638.8251953125,2686.2878,,,0.73822945,952.537353515625,True,lstm,0.30350065
229,query_241,ext_tpcds1000#087#003,1781478035304,autoslo-4-1781478035304-0,4,258,3637.5380859375,4488.8096,,,1.234024,0.0,True,lstm,0.0
200,query_77,ext_tpcds1000#097#001,1778846572149,autoslo-4-1778846572149-0,4,159,3635.973876953125,2275.47,,,0.6258213,1360.50390625,True,lstm,0.4686904
1289,query_90,ext_tpcds1000#075#002,1778846572149,autoslo-4-1778846572149-0,4,156,3632.1025390625,3459.3142,,,0.95242745,172.788330078125,True,lstm,0.04874134
4811,query_161,ext_tpcds1000#028#002,1778846572149,autoslo-4-1778846572149-0,4,137,3628.595458984375,5370.5317,,,1.480058,0.0,True,lstm,0.0
6400,query_23,ext_tpcds1000#069#003,1781489438980,autoslo-4-1781489438980-0,4,296,3628.194091796875,1072.1163,,,0.29549587,2556.07763671875,True,lstm,1.2191005
7906,query_273,ext_tpcds1000#025#003,1781478035304,autoslo-4-1781478035304-0,4,255,3628.031494140625,4236.8926,,,1.1678213,0.0,True,lstm,0.0
1094,query_151,ext_tpcds1000#023#002,1778868881242,autoslo-4-1778868881242-0,4,205,3627.7373046875,6668.1743,,,1.8381084,0.0,True,lstm,0.0
8450,query_183,ext_tpcds1000#046#003,1781478035304,autoslo-4-1781478035304-0,4,264,3627.57470703125,3813.136,,,1.051153,0.0,True,lstm,0.0
2949,query_185,ext_tpcds1000#050#003,1781478035304,autoslo-4-1781478035304-0,4,264,3624.956787109375,5277.738,,,1.455945,0.0,True,lstm,0.0
3207,query_4,ext_tpcds1000#078#002,1778868881242,autoslo-4-1778868881242-0,4,164,3624.15478515625,2793.2002,,,0.7707177,830.95458984375,True,lstm,0.2604332
995,query_230,ext_tpcds1000#094#001,1778861305520,autoslo-4-1778861305520-0,4,245,3623.805908203125,5719.044,,,1.5781871,0.0,True,lstm,0.0
8039,query_215,ext_tpcds1000#089#002,1778861305520,autoslo-4-1778861305520-0,4,250,3623.80224609375,6739.979,,,1.8599191,0.0,True,lstm,0.0
4704,query_27,ext_tpcds1000#047#002,1781489438980,autoslo-4-1781489438980-0,4,296,3621.736328125,1163.4312,,,0.32123575,2458.30517578125,True,lstm,1.1355801
1797,query_111,ext_tpcds1000#024#001,1778868881242,autoslo-4-1778868881242-0,4,233,3621.31494140625,5087.7534,,,1.4049464,0.0,True,lstm,0.0
320,query_64,ext_tpcds1000#028#003,1781489438980,autoslo-4-1781489438980-0,4,291,3619.06396484375,2447.7644,,,0.6763529,1171.299560546875,True,lstm,0.39104033
8644,query_92,ext_tpcds1000#009#001,1778861305520,autoslo-4-1778861305520-0,4,266,3617.593994140625,3873.731,,,1.0708032,0.0,True,lstm,0.0
4999,query_140,ext_tpcds1000#072#001,1778868881242,autoslo-4-1778868881242-0,4,209,3616.976318359375,4933.125,,,1.3638809,0.0,True,lstm,0.0
1376,query_80,ext_tpcds1000#024#003,1781484238915,autoslo-4-1781484238915-0,4,290,3616.803955078125,3517.3745,,,0.972509,99.429443359375,True,lstm,0.0278759
2816,query_34,ext_tpcds1000#065#001,1781489438980,autoslo-4-1781489438980-0,4,296,3616.67626953125,919.2204,,,0.25416166,2697.455810546875,True,lstm,1.3697848
5378,query_225,ext_tpcds1000#072#002,1781478035304,autoslo-4-1781478035304-0,4,258,3616.45556640625,4715.2046,,,1.3038193,0.0,True,lstm,0.0
7456,query_67,ext_tpcds1000#016#002,1781489438980,autoslo-4-1781489438980-0,4,291,3615.814208984375,2223.4106,,,0.61491287,1392.403564453125,True,lstm,0.48627472
5734,query_71,ext_tpcds1000#028#001,1778846572149,autoslo-4-1778846572149-0,4,165,3612.226318359375,2793.2173,,,0.7732675,819.009033203125,True,lstm,0.25713015
3587,query_85,ext_tpcds1000#095#001,1778846572149,autoslo-4-1778846572149-0,4,157,3609.757080078125,2746.0195,,,0.76072145,863.737548828125,True,lstm,0.27348804
6082,query_85,ext_tpcds1000#028#002,1778861305520,autoslo-4-1778861305520-0,4,269,3609.71240234375,4593.506,,,1.2725407,0.0,True,lstm,0.0
911,query_262,ext_tpcds1000#016#003,1781494395969,autoslo-4-1781494395969-0,4,136,3608.624755859375,3720.754,,,1.0310725,0.0,True,lstm,0.0
1066,query_285,ext_tpcds1000#097#003,1781522879274,autoslo-4-1781522879274-0,4,175,3608.277099609375,4589.552,,,1.2719511,0.0,True,lstm,0.0
5445,query_279,ext_tpcds1000#064#001,1781504195418,autoslo-4-1781504195418-0,4,169,3608.204833984375,7335.209,,,2.0329247,0.0,True,lstm,0.0
7041,query_218,ext_tpcds1000#078#003,1781489438980,autoslo-4-1781489438980-0,4,289,3607.984619140625,10800.655,,,2.9935424,0.0,True,lstm,0.0
3750,query_133,ext_tpcds1000#030#002,1778846572149,autoslo-4-1778846572149-0,4,138,3607.33447265625,3131.4832,,,0.8680878,475.851318359375,True,lstm,0.14146233
3652,query_62,ext_tpcds1000#004#001,1778846572149,autoslo-4-1778846572149-0,4,169,3607.179443359375,2203.9397,,,0.610987,1403.23974609375,True,lstm,0.4926796
874,query_144,ext_tpcds1000#063#001,1778846572149,autoslo-4-1778846572149-0,4,137,3607.000732421875,2194.5176,,,0.60840505,1412.483154296875,True,lstm,0.4969144
7685,query_288,ext_tpcds1000#005#002,1781478035304,autoslo-4-1781478035304-0,4,254,3606.839111328125,4868.729,,,1.3498603,0.0,True,lstm,0.0
5128,query_260,ext_tpcds1000#072#003,1781513174670,autoslo-4-1781513174670-0,4,140,3606.83544921875,4592.012,,,1.2731416,0.0,True,lstm,0.0
6883,query_252,ext_tpcds1000#087#001,1781478035304,autoslo-4-1781478035304-0,4,257,3606.80810546875,4530.168,,,1.2560047,0.0,True,lstm,0.0
2691,query_2,ext_tpcds1000#004#001,1778827732917,autoslo-4-1778827732917-0,4,130,3606.759765625,2396.9524,,,0.66457224,1209.807373046875,True,lstm,0.40861177
2112,query_186,ext_tpcds1000#043#001,1781489438980,autoslo-4-1781489438980-0,4,289,3606.587890625,8207.785,,,2.2757757,0.0,True,lstm,0.0
2464,query_4,ext_tpcds1000#078#002,1778861305520,autoslo-4-1778861305520-0,4,295,3606.295654296875,3157.7146,,,0.87561166,448.5810546875,True,lstm,0.13283253
6696,query_158,ext_tpcds1000#064#001,1781504195418,autoslo-4-1781504195418-0,4,228,3606.144287109375,5473.8657,,,1.5179275,0.0,True,lstm,0.0
2657,query_267,ext_tpcds1000#043#003,1781489438980,autoslo-4-1781489438980-0,4,287,3605.9482421875,5334.412,,,1.4793369,0.0,True,lstm,0.0
7940,query_173,ext_tpcds1000#067#002,1778861305520,autoslo-4-1778861305520-0,4,250,3605.332763671875,6577.7603,,,1.824453,0.0,True,lstm,0.0
8449,query_230,ext_tpcds1000#094#001,1781488939845,autoslo-8-1781488939845-0,8,280,3605.329345703125,3825.75,,,1.0611374,0.0,True,lstm,0.0
