,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,factor_error,underprediction_error_s,target_is_lower_bound,model_source,individual_loss
1701,query_80,ext_tpcds1000#024#003,1778861305520,autoslo-4-1778861305520-0,4,269,3697.305908203125,3424.964599609375,,,0.9263405799865723,272.34130859375,True,lstm,0.07651329040527344
10502,query_4,ext_tpcds1000#078#002,1781489438980,autoslo-4-1781489438980-0,4,296,3683.7626953125,3811.641845703125,,,1.0347142219543457,0.0,True,lstm,0.0
6499,query_6,ext_tpcds1000#075#003,1781489438980,autoslo-4-1781489438980-0,4,296,3681.514892578125,2386.68310546875,,,0.6482883095741272,1294.831787109375,True,lstm,0.43341970443725586
10372,query_10,ext_tpcds1000#044#003,1781489438980,autoslo-4-1781489438980-0,4,296,3679.21240234375,932.7499389648438,,,0.2535189092159271,2746.46240234375,True,lstm,1.372316837310791
7652,query_255,ext_tpcds1000#023#001,1781484238915,autoslo-4-1781484238915-0,4,277,3661.546142578125,5453.50830078125,,,1.4894003868103027,0.0,True,lstm,0.0
8644,query_28,ext_tpcds1000#009#003,1781478035304,autoslo-4-1781478035304-0,4,296,3652.314697265625,3752.85546875,,,1.027527928352356,0.0,True,lstm,0.0
2606,query_132,ext_tpcds1000#087#002,1778846572149,autoslo-4-1778846572149-0,4,138,3651.69482421875,3706.668701171875,,,1.0150543451309204,0.0,True,lstm,0.0
2346,query_161,ext_tpcds1000#009#002,1781478035304,autoslo-4-1781478035304-0,4,266,3650.68505859375,7096.92138671875,,,1.9439971446990967,0.0,True,lstm,0.0
8682,query_134,ext_tpcds1000#065#002,1778868881242,autoslo-4-1778868881242-0,4,218,3646.770263671875,4163.3642578125,,,1.1416579484939575,0.0,True,lstm,0.0
6471,query_80,ext_tpcds1000#016#001,1778846572149,autoslo-4-1778846572149-0,4,158,3638.8251953125,3264.731689453125,,,0.8971938490867615,374.093505859375,True,lstm,0.10848331451416016
9544,query_241,ext_tpcds1000#087#003,1781478035304,autoslo-4-1781478035304-0,4,258,3637.5380859375,5167.51904296875,,,1.4206088781356812,0.0,True,lstm,0.0
9802,query_77,ext_tpcds1000#097#001,1778846572149,autoslo-4-1778846572149-0,4,159,3635.973876953125,3088.43408203125,,,0.8494104146957397,547.539794921875,True,lstm,0.16321277618408203
422,query_243,ext_tpcds1000#038#002,1781478035304,autoslo-4-1781478035304-0,4,258,3631.4306640625,4056.08642578125,,,1.1169389486312866,0.0,True,lstm,0.0
8271,query_161,ext_tpcds1000#028#002,1778846572149,autoslo-4-1778846572149-0,4,137,3628.595458984375,5216.8173828125,,,1.437696099281311,0.0,True,lstm,0.0
6726,query_23,ext_tpcds1000#069#003,1781489438980,autoslo-4-1781489438980-0,4,296,3628.194091796875,2661.0068359375,,,0.7334246039390564,967.187255859375,True,lstm,0.310030460357666
8932,query_273,ext_tpcds1000#025#003,1781478035304,autoslo-4-1781478035304-0,4,255,3628.031494140625,3954.29443359375,,,1.089928388595581,0.0,True,lstm,0.0
9324,query_151,ext_tpcds1000#023#002,1778868881242,autoslo-4-1778868881242-0,4,205,3627.7373046875,5418.453125,,,1.4936177730560303,0.0,True,lstm,0.0
2664,query_183,ext_tpcds1000#046#003,1781478035304,autoslo-4-1781478035304-0,4,264,3627.57470703125,3413.22607421875,,,0.9409112930297852,214.3486328125,True,lstm,0.060906410217285156
9033,query_201,ext_tpcds1000#008#003,1778861305520,autoslo-4-1778861305520-0,4,250,3627.152587890625,3729.5927734375,,,1.028242588043213,0.0,True,lstm,0.0
2086,query_271,ext_tpcds1000#028#001,1781484238915,autoslo-4-1781484238915-0,4,275,3624.300048828125,5978.6923828125,,,1.6496130228042603,0.0,True,lstm,0.0
7337,query_4,ext_tpcds1000#078#002,1778868881242,autoslo-4-1778868881242-0,4,164,3624.15478515625,3522.50048828125,,,0.971950888633728,101.654296875,True,lstm,0.02845001220703125
678,query_230,ext_tpcds1000#094#001,1778861305520,autoslo-4-1778861305520-0,4,245,3623.805908203125,4864.05078125,,,1.3422492742538452,0.0,True,lstm,0.0
