candidate_rpu,queries_per_obs_window,simulated_queries,rep,elapsed_s
[4],16.0,50,0,0.15105031058192253
[4],16.0,50,1,0.15227864310145378
[4],16.0,50,2,0.15097809955477715
[4],16.0,50,3,0.15232619270682335
[4],16.0,50,4,0.15088478848338127
"[4,8]",16.0,81,0,0.2673021890223026
"[4,8]",16.0,81,1,0.28388378396630287
"[4,8]",16.0,81,2,0.2918991968035698
"[4,8]",16.0,81,3,0.4064391329884529
"[4,8]",16.0,81,4,0.28279984369874
"[4,8,16]",16.0,112,0,0.38754652813076973
"[4,8,16]",16.0,112,1,0.32585524767637253
"[4,8,16]",16.0,112,2,0.414388470351696
"[4,8,16]",16.0,112,3,0.33093130961060524
"[4,8,16]",16.0,112,4,0.32930896431207657
"[4,8,16,32]",16.0,143,0,0.41340775042772293
"[4,8,16,32]",16.0,143,1,0.4108709245920181
"[4,8,16,32]",16.0,143,2,0.41161949187517166
"[4,8,16,32]",16.0,143,3,0.4104318879544735
"[4,8,16,32]",16.0,143,4,0.42528705671429634
[4],32.0,71,0,0.2234506569802761
[4],32.0,71,1,0.22126690670847893
[4],32.0,71,2,0.21852030232548714
[4],32.0,71,3,0.22066838294267654
[4],32.0,71,4,0.21971097588539124
"[4,8]",32.0,101,0,0.3185829818248749
"[4,8]",32.0,101,1,0.31828491389751434
"[4,8]",32.0,101,2,0.317046120762825
"[4,8]",32.0,101,3,0.31691936030983925
"[4,8]",32.0,101,4,0.31609899550676346
"[4,8,16]",32.0,131,0,0.41455773264169693
"[4,8,16]",32.0,131,1,0.413168478757143
"[4,8,16]",32.0,131,2,0.41529688611626625
"[4,8,16]",32.0,131,3,0.4130017012357712
"[4,8,16]",32.0,131,4,0.4138689450919628
"[4,8,16,32]",32.0,161,0,0.513474564999342
"[4,8,16,32]",32.0,161,1,0.5115457102656364
"[4,8,16,32]",32.0,161,2,0.5150225833058357
"[4,8,16,32]",32.0,161,3,0.5150939337909222
"[4,8,16,32]",32.0,161,4,0.5147007182240486
[4],64.0,95,0,0.39916499704122543
[4],64.0,95,1,0.39697976037859917
[4],64.0,95,2,0.3947850242257118
[4],64.0,95,3,0.3953542448580265
[4],64.0,95,4,0.395097941160202
"[4,8]",64.0,125,0,0.5199962072074413
"[4,8]",64.0,125,1,0.519546203315258
"[4,8]",64.0,125,2,0.5862956382334232
"[4,8]",64.0,125,3,0.5203566029667854
"[4,8]",64.0,125,4,0.5511013939976692
"[4,8,16]",64.0,155,0,0.64735022559762
"[4,8,16]",64.0,155,1,0.6452974490821362
"[4,8,16]",64.0,155,2,0.6599860861897469
"[4,8,16]",64.0,155,3,0.6543195843696594
"[4,8,16]",64.0,155,4,0.6603620648384094
"[4,8,16,32]",64.0,185,0,0.7555674463510513
"[4,8,16,32]",64.0,185,1,0.7557872608304024
"[4,8,16,32]",64.0,185,2,0.7550487741827965
"[4,8,16,32]",64.0,185,3,0.7561485432088375
"[4,8,16,32]",64.0,185,4,0.7526437193155289
[4],128.0,170,0,0.9141500741243362
[4],128.0,170,1,0.9048910066485405
[4],128.0,170,2,0.902145404368639
[4],128.0,170,3,0.9046539254486561
[4],128.0,170,4,1.058263186365366
"[4,8]",128.0,204,0,1.113825872540474
"[4,8]",128.0,204,1,1.2534563392400742
"[4,8]",128.0,204,2,1.3408527001738548
"[4,8]",128.0,204,3,1.189352162182331
"[4,8]",128.0,204,4,1.2637640163302422
"[4,8,16]",128.0,235,0,1.4948476925492287
"[4,8,16]",128.0,235,1,1.4852885603904724
"[4,8,16]",128.0,235,2,1.4695932678878307
"[4,8,16]",128.0,235,3,1.4485127292573452
"[4,8,16]",128.0,235,4,1.2255445271730423
"[4,8,16,32]",128.0,268,0,1.4298615455627441
"[4,8,16,32]",128.0,268,1,1.4199432022869587
"[4,8,16,32]",128.0,268,2,1.4508335702121258
"[4,8,16,32]",128.0,268,3,1.46219751983881
"[4,8,16,32]",128.0,268,4,1.6378470174968243
[4],256.0,325,0,5.59492864087224
[4],256.0,325,1,5.058072466403246
[4],256.0,325,2,5.1323219537734985
[4],256.0,325,3,5.272669408470392
[4],256.0,325,4,5.721616432070732
"[4,8]",256.0,384,0,5.620988957583904
"[4,8]",256.0,384,1,5.731930289417505
"[4,8]",256.0,384,2,5.737181041389704
"[4,8]",256.0,384,3,6.28022051602602
"[4,8]",256.0,384,4,6.499821953475475
"[4,8,16]",256.0,441,0,7.1424888633191586
"[4,8,16]",256.0,441,1,6.441443610936403
"[4,8,16]",256.0,441,2,6.285732552409172
"[4,8,16]",256.0,441,3,6.529144965112209
"[4,8,16]",256.0,441,4,6.899525318294764
"[4,8,16,32]",256.0,494,0,7.06872072070837
"[4,8,16,32]",256.0,494,1,6.956011552363634
"[4,8,16,32]",256.0,494,2,7.728372905403376
"[4,8,16,32]",256.0,494,3,7.529245942831039
"[4,8,16,32]",256.0,494,4,6.997846804559231
