clusters,active_per_cluster,total_active_queries,rep,elapsed_s
1,2,2,0,0.0037344172596931458
1,2,2,1,0.0023597776889801025
1,2,2,2,0.0022941268980503082
1,4,4,0,0.00383073091506958
1,4,4,1,0.0025730952620506287
1,4,4,2,0.0025928281247615814
1,8,8,0,0.004199698567390442
1,8,8,1,0.0033354051411151886
1,8,8,2,0.003321632742881775
1,16,16,0,0.0063465796411037445
1,16,16,1,0.005309902131557465
1,16,16,2,0.005311239510774612
1,32,32,0,0.012172389775514603
1,32,32,1,0.010978911072015762
1,32,32,2,0.010532796382904053
2,2,4,0,0.0027366802096366882
2,2,4,1,0.0027673542499542236
2,2,4,2,0.0027645304799079895
2,4,8,0,0.004246607422828674
2,4,8,1,0.0034332945942878723
2,4,8,2,0.003367982804775238
2,8,16,0,0.005723092705011368
2,8,16,1,0.004816561937332153
2,8,16,2,0.004844173789024353
2,16,32,0,0.010801810771226883
2,16,32,1,0.008402731269598007
2,16,32,2,0.00827639177441597
2,32,64,0,0.016329709440469742
2,32,64,1,0.015276860445737839
2,32,64,2,0.01466643437743187
4,2,8,0,0.00455126166343689
4,2,8,1,0.00353410467505455
4,2,8,2,0.003523867577314377
4,4,16,0,0.005329452455043793
4,4,16,1,0.004393596202135086
4,4,16,2,0.008536778390407562
4,8,32,0,0.007658306509256363
4,8,32,1,0.006654821336269379
4,8,32,2,0.006683371961116791
4,16,64,0,0.013263076543807983
4,16,64,1,0.011946998536586761
4,16,64,2,0.015571966767311096
4,32,128,0,0.03590831533074379
4,32,128,1,0.029374100267887115
4,32,128,2,0.03220658376812935
8,2,16,0,0.005857858806848526
8,2,16,1,0.004877839237451553
8,2,16,2,0.008916448801755905
8,4,32,0,0.008192002773284912
8,4,32,1,0.010855745524168015
8,4,32,2,0.006269566714763641
8,8,64,0,0.008076373487710953
8,8,64,1,0.007221248000860214
8,8,64,2,0.007403794676065445
8,16,128,0,0.02299990877509117
8,16,128,1,0.02521374821662903
8,16,128,2,0.02571871504187584
8,32,256,0,0.04778749868273735
8,32,256,1,0.05744374543428421
8,32,256,2,0.044994499534368515
