n_parallel,n_queries_per_simulation,total_simulated_queries,rep,elapsed_s
1,64,64,0,4.1131730154156685
1,64,64,1,3.8124546632170677
1,64,64,2,3.8103857412934303
1,64,64,3,3.773436523973942
1,64,64,4,3.771582219749689
4,64,256,0,4.691849451512098
4,64,256,1,4.839829601347446
4,64,256,2,4.572412189096212
4,64,256,3,4.690997391939163
4,64,256,4,4.645870499312878
16,64,1024,0,6.33746936917305
16,64,1024,1,6.270990423858166
16,64,1024,2,6.1199186109006405
16,64,1024,3,6.341241165995598
16,64,1024,4,6.332094892859459
1,1024,1024,0,9.265898674726486
1,1024,1024,1,9.634550783783197
1,1024,1024,2,9.531483322381973
1,1024,1024,3,9.431404028087854
1,1024,1024,4,9.175695177167654
4,1024,4096,0,10.402278196066618
4,1024,4096,1,10.201657939702272
4,1024,4096,2,10.934809319674969
4,1024,4096,3,10.323584657162428
4,1024,4096,4,11.055969566106796
16,1024,16384,0,14.576695431023836
16,1024,16384,1,14.228206541389227
16,1024,16384,2,14.178840108215809
16,1024,16384,3,14.400259334594011
16,1024,16384,4,14.00208943337202
1,16384,16384,0,86.8286107853055
1,16384,16384,1,87.81639336794615
1,16384,16384,2,89.67301686480641
1,16384,16384,3,88.98580899089575
1,16384,16384,4,87.04688027501106
4,16384,65536,0,103.8079021461308
4,16384,65536,1,101.90857454016805
4,16384,65536,2,100.25276520848274
4,16384,65536,3,107.11136564984918
4,16384,65536,4,104.72503343224525
16,16384,262144,0,123.42986324056983
16,16384,262144,1,122.95061140879989
16,16384,262144,2,122.96408830210567
16,16384,262144,3,123.61905930563807
16,16384,262144,4,127.70809622481465
