n_scenarios,queries_per_scenario,total_simulated_queries,n_candidates_found,rep,elapsed_s
10,64,640,1,0,0.017733115702867508
10,64,640,1,1,0.011585596948862076
10,64,640,1,2,0.011941954493522644
10,64,640,1,3,0.012230809777975082
10,64,640,1,4,0.012277957051992416
10,1024,10240,1,0,0.04005197063088417
10,1024,10240,1,1,0.03382055088877678
10,1024,10240,1,2,0.033082567155361176
10,1024,10240,1,3,0.032993461936712265
10,1024,10240,1,4,0.03817257657647133
10,16384,163840,3,0,0.4110305644571781
10,16384,163840,3,1,0.40795597434043884
10,16384,163840,3,2,0.40239760279655457
10,16384,163840,3,3,0.40510211139917374
10,16384,163840,3,4,0.40004000440239906
20,64,1280,1,0,0.02717914804816246
20,64,1280,1,1,0.026870381087064743
20,64,1280,1,2,0.022961288690567017
20,64,1280,1,3,0.02321656420826912
20,64,1280,1,4,0.02304030954837799
20,1024,20480,2,0,0.0757436491549015
20,1024,20480,2,1,0.06939183920621872
20,1024,20480,2,2,0.07104788348078728
20,1024,20480,2,3,0.06782707199454308
20,1024,20480,2,4,0.07072970271110535
20,16384,327680,3,0,0.9301861450076103
20,16384,327680,3,1,0.8262469954788685
20,16384,327680,3,2,0.8118197806179523
20,16384,327680,3,3,0.8270829804241657
20,16384,327680,3,4,0.8105714693665504
50,64,3200,1,0,0.0636909045279026
50,64,3200,1,1,0.061753083020448685
50,64,3200,1,2,0.0576479509472847
50,64,3200,1,3,0.06154276430606842
50,64,3200,1,4,0.05691295862197876
50,1024,51200,2,0,0.18734760954976082
50,1024,51200,2,1,0.1689792312681675
50,1024,51200,2,2,0.177046999335289
50,1024,51200,2,3,0.17496588826179504
50,1024,51200,2,4,0.30470549687743187
50,16384,819200,2,0,2.066592864692211
50,16384,819200,2,1,2.0412989109754562
50,16384,819200,2,2,2.0288814529776573
50,16384,819200,2,3,2.0552690029144287
50,16384,819200,2,4,2.0462841242551804
