arrival_index,comparison_base,comparison_+size,comparison_+censored,model_v8
1,3.7779659032821655,2.1935515105724335,2.0458027720451355,2.1714232861995697
2,2.872031182050705,2.1790675818920135,1.9307173788547516,5.974326282739639
3,3.3278465270996094,3.1625889241695404,2.0720921456813812,5.884777754545212
4,3.1126700341701508,2.436026930809021,2.2306106984615326,8.069690316915512
5,3.6682747304439545,3.3689290285110474,2.3334920406341553,5.9875063598155975
6,4.291340708732605,3.7296749651432037,2.5748685002326965,6.006244570016861
7,4.421882331371307,4.5930929481983185,2.746749669313431,6.157580763101578
8,4.008650779724121,3.0625760555267334,2.904467284679413,6.4761340618133545
9,7.4666813015937805,3.2467059791088104,3.1633861362934113,6.64350762963295
10,4.5730359852313995,3.5104863345623016,3.3938996493816376,9.773142635822296
11,5.033951252698898,3.7361644208431244,3.6262348294258118,6.877627223730087
12,5.178149789571762,3.935709595680237,3.937486559152603,10.076764971017838
13,5.775514990091324,4.170872271060944,4.203435033559799,7.735509425401688
14,6.165061146020889,4.427202045917511,4.570875316858292,7.994052022695541
15,5.787733942270279,4.68830019235611,4.503041505813599,8.977029472589493
16,5.766239017248154,5.070343613624573,4.849590361118317,6.630543619394302
17,6.67017325758934,5.236275494098663,12.859959155321121,10.790608823299408
18,6.647393107414246,5.5634453892707825,5.538281053304672,7.961999624967575
19,7.51340389251709,6.839830428361893,6.008408963680267,7.643375545740128
20,7.609706372022629,6.173420697450638,6.283201277256012,7.823977619409561
21,8.194666355848312,8.769720792770386,7.258597761392593,8.344385772943497
22,8.108943700790405,6.835319101810455,7.429260760545731,8.463438600301743
23,8.866742253303528,7.034748792648315,7.694952189922333,8.180234581232071
24,13.74635100364685,7.471006363630295,8.150164037942886,8.386239409446716
25,9.354908019304276,7.802937179803848,8.65171104669571,8.511878550052643
26,9.986929595470428,8.08817520737648,8.975818753242493,8.719611912965775
27,10.64775139093399,8.439086377620697,9.494815021753311,8.555222302675247
28,10.831780731678009,8.799660950899124,9.69507172703743,8.933540433645248
29,11.207401752471924,8.982077240943909,9.658783674240112,11.577047407627106
30,10.937720537185669,9.348742663860321,17.565343528985977,9.122539311647415
31,11.73388585448265,9.785529226064682,10.703910142183304,8.881889283657074
32,13.376139104366302,9.93163138628006,10.74574887752533,9.28305834531784
33,15.314571559429169,12.02179491519928,11.403150856494904,9.350068867206573
34,12.970857322216034,10.801691561937332,12.106463313102722,9.19283926486969
35,13.707730919122696,11.248264461755753,12.433193624019623,9.635325521230698
36,14.352831989526749,11.722039431333542,13.009652495384216,9.702824056148529
37,14.601320028305054,12.154463678598404,13.49223405122757,9.583495557308197
38,15.040941536426544,12.53603771328926,20.512335002422333,10.055739432573318
39,15.816591680049896,12.915603816509247,14.398109167814255,10.014522820711136
40,17.503488808870316,12.970171868801117,14.688234776258469,45.856885612010956
41,17.794765532016754,14.667283743619919,15.442181378602982,10.4268379509449
42,17.524726688861847,13.774089515209198,15.549544245004654,10.566838085651398
43,17.103806138038635,15.15847072005272,15.13669639825821,10.395999997854233
44,16.497109085321426,15.788335353136063,15.534162521362305,10.586276650428772
45,15.943799167871475,15.21235704421997,23.102551698684692,10.558996349573135
46,17.436426132917404,16.62321388721466,16.931049525737762,10.711804032325745
47,17.193201929330826,16.668763011693954,17.678070813417435,14.497995376586914
48,19.6383036673069,18.045194447040558,17.130468040704727,80.70452138781548
49,24.013586342334747,16.816992312669754,18.248427659273148,10.989367961883545
50,19.115742295980453,17.187822610139847,18.228679895401,14.15301114320755
51,20.17749845981598,16.41818881034851,21.221347153186798,11.693175882101059
52,19.85880360007286,16.783077269792557,19.172269850969315,11.580653488636017
53,19.924011081457138,17.033908516168594,19.241172820329666,11.500231921672821
54,21.114658564329147,19.687246531248093,20.10359615087509,11.842679232358932
55,21.29540592432022,18.16665008664131,21.15738019347191,12.259680777788162
56,22.61463925242424,19.967928528785706,28.05853635072708,12.089934200048447
57,22.96590432524681,18.931344151496887,21.0300050675869,12.0173841714859
58,23.90517294406891,19.83066275715828,21.833408623933792,76.31061971187592
59,25.282565504312515,21.3695727288723,21.872371435165405,15.781302005052567
60,25.682482868433,20.719077438116074,21.639224141836166,15.756797045469284
61,24.003643542528152,21.09329402446747,25.069549679756165,18.752533942461014
62,25.96251294016838,20.559649914503098,23.367393761873245,16.196489334106445
63,26.415791362524033,22.66066148877144,24.15737882256508,16.145750880241394
64,25.066792964935303,24.256985634565353,22.381626069545746,16.283884644508362
65,25.19397810101509,22.102084010839462,26.66885033249855,16.31932705640793
66,27.320243418216705,22.0874585211277,24.414554238319397,16.056537628173828
67,27.254801243543625,33.25871005654335,26.501409709453583,20.357288420200348
68,29.969189316034317,27.053367346525192,25.791849941015244,17.591997981071472
69,30.988577753305435,29.351264238357544,26.120301336050034,17.336323857307434
70,29.712505638599396,26.004105806350708,26.72860026359558,17.228517681360245
71,33.75023603439331,26.317451149225235,26.353519409894943,17.496518790721893
72,31.51595965027809,28.33801880478859,27.646131813526154,17.222430557012558
73,35.01736745238304,27.213070541620255,31.55844658613205,21.672405302524567
74,34.658417105674744,27.782056480646133,29.477491974830627,18.169239163398743
75,37.57735341787338,28.06023135781288,29.932323843240738,18.03046464920044
76,35.08847579360008,30.176907777786255,29.959429055452347,16.6875459253788
77,36.41974553465843,29.867857694625854,30.123021453619003,14.653895050287247
78,36.054711788892746,29.33267503976822,30.38439154624939,14.668390154838562
79,40.105123072862625,29.845211654901505,31.068917363882065,18.09946820139885
80,41.304681450128555,30.835170298814774,41.04261472821236,15.01321792602539
81,39.31621089577675,31.02116286754608,35.46888753771782,15.072468668222427
82,39.42672908306122,31.58625215291977,33.07139128446579,15.77618345618248
83,39.83240947127342,35.420022904872894,36.971233785152435,16.10575243830681
84,40.72437435388565,32.199207693338394,34.81226786971092,17.890457063913345
85,41.94266349077225,32.01606124639511,37.475187331438065,20.69055661559105
86,35.50097718834877,36.078788340091705,33.13551843166351,18.867965787649155
87,41.930150240659714,33.39333087205887,34.151654690504074,14.01415467262268
88,40.73633253574371,35.784754902124405,36.25741973519325,15.754535794258118
89,39.528317749500275,38.79108279943466,35.282451659440994,16.315527260303497
90,44.15372014045715,36.18832677602768,36.16727516055107,16.202736645936966
91,45.13458162546158,35.29713675379753,38.63213211297989,18.623318523168564
92,46.54476419091225,39.5241305232048,38.36768493056297,16.133476048707962
93,42.07129031419754,38.49427029490471,38.02159056067467,16.223419457674026
94,83.06016027927399,38.20159286260605,43.513838201761246,16.529839485883713
95,46.374332159757614,43.30708459019661,40.99887236952782,16.88782498240471
96,49.22005534172058,38.921382278203964,41.583698242902756,16.881801187992096
97,45.93248665332794,39.949096739292145,40.44923931360245,20.260300487279892
98,46.05376347899437,40.68853333592415,40.84819555282593,17.797991633415222
99,44.33133453130722,39.48373347520828,46.66464030742645,17.234429717063904
100,49.05763268470764,44.3451963365078,42.79913753271103,17.00552925467491
101,50.90415105223656,43.28110069036484,42.41461679339409,17.550069838762283
102,59.087205678224564,47.38042876124382,42.91665181517601,17.34461635351181
103,54.40658703446388,44.63106021285057,43.666914105415344,22.209294140338898
104,49.92086812853813,45.92161625623703,50.760187208652496,17.90628582239151
105,52.60483920574188,45.08274793624878,46.11328989267349,17.722666263580322
106,50.57299882173538,47.80317842960358,46.41779512166977,17.970778048038483
107,54.38966304063797,47.551609575748444,48.272229731082916,17.872881144285202
108,54.284606128931046,47.56053537130356,46.89420759677887,17.965223640203476
109,58.709580451250076,50.13851448893547,48.39666932821274,24.8652845621109
110,53.37830260396004,48.894256353378296,50.2721443772316,18.529869616031647
111,56.915294378995895,50.981950014829636,47.731440514326096,18.66430789232254
112,63.63520398736,48.43513295054436,47.56154492497444,18.455184996128082
113,62.98035383224487,54.69183996319771,51.3141006231308,18.446199595928192
114,55.953338742256165,51.16281658411026,48.20776730775833,18.721871078014374
115,62.85569816827774,55.91665953397751,51.762983202934265,28.146546334028244
116,63.72122839093208,51.19772255420685,49.72260817885399,19.003331661224365
117,61.41096353530884,58.671411126852036,56.58496543765068,19.1270150244236
118,63.21095675230026,54.56043407320976,50.78572407364845,19.03447136282921
119,69.09210234880447,62.11413815617561,62.208615243434906,19.33048665523529
120,84.70360562205315,64.18216601014137,60.17615273594856,432.72580951452255
121,95.92991322278976,78.9913460612297,66.11419469118118,228.97371277213097
122,74.60658624768257,85.87302267551422,62.14379146695137,28.930503875017166
123,79.05862852931023,77.95759290456772,71.01315632462502,28.362669050693512
124,76.48954913020134,96.34136408567429,75.7191851735115,28.991803526878357
125,76.34459063410759,73.36210086941719,74.12202656269073,33.30487757921219
126,84.73080396652222,75.65221935510635,61.21022254228592,29.657453298568726
127,78.7980891764164,81.49594441056252,79.8267088830471,24.440374225378036
128,83.56921374797821,71.16912677884102,71.11288979649544,24.37841147184372
129,82.42170512676239,64.62453305721283,70.96562162041664,29.94770184159279
