run_id,config_id,workload_id,started_at
1778469201294,tpcds_benchmarking__RPU=16,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-11T03:13:22Z
1778596303399,tpcds_benchmarking__RPU=8,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-12T14:31:43Z
1778596401747,tpcds_benchmarking__RPU=4,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-12T14:33:22Z
1778596415878,tpcds_benchmarking__RPU=32,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-12T14:33:36Z
1778821888613,model_training__RPU=16,poisson_66_2_1_0.1_42__target__rf1.000,2026-05-15T05:11:28Z
1778822197626,model_training__RPU=4,poisson_66_2_1_0.1_42__target__rf1.000,2026-05-15T05:16:37Z
1778822203993,model_training__RPU=8,poisson_66_2_1_0.1_42__target__rf1.000,2026-05-15T05:16:44Z
1778822227786,model_training__RPU=32,poisson_66_2_1_0.1_42__target__rf1.000,2026-05-15T05:17:08Z
1778823665762,model_training__RPU=16,poisson_66_2_1_0.05_42__target__rf1.000,2026-05-15T05:41:06Z
1778824038818,model_training__RPU=32,poisson_66_2_1_0.05_42__target__rf1.000,2026-05-15T05:47:19Z
1778824254808,model_training__RPU=8,poisson_66_2_1_0.05_42__target__rf1.000,2026-05-15T05:50:55Z
1778826668997,model_training__RPU=16,poisson_66_3_1_0.1_42__target__rf1.000,2026-05-15T06:31:09Z
1778827099259,model_training__RPU=32,poisson_66_3_1_0.1_42__target__rf1.000,2026-05-15T06:38:19Z
1778827275022,model_training__RPU=8,poisson_66_3_1_0.1_42__target__rf1.000,2026-05-15T06:41:15Z
1778827732917,model_training__RPU=4,poisson_66_2_1_0.05_42__target__rf1.000,2026-05-15T06:48:53Z
1778829317324,model_training__RPU=16,poisson_66_3_1_0.05_42__target__rf1.000,2026-05-15T07:15:17Z
1778829721533,model_training__RPU=32,poisson_66_3_1_0.05_42__target__rf1.000,2026-05-15T07:22:02Z
1778830455527,model_training__RPU=8,poisson_66_3_1_0.05_42__target__rf1.000,2026-05-15T07:34:15Z
1778833176612,model_training__RPU=4,poisson_66_3_1_0.1_42__target__rf1.000,2026-05-15T08:19:37Z
1778833931287,model_training__RPU=16,poisson_99_2_1_0.1_42__target__rf1.000,2026-05-15T08:32:11Z
1778834328135,model_training__RPU=32,poisson_99_2_1_0.1_42__target__rf1.000,2026-05-15T08:38:48Z
1778835128511,model_training__RPU=8,poisson_99_2_1_0.1_42__target__rf1.000,2026-05-15T08:52:09Z
1778836790029,model_training__RPU=16,poisson_99_2_1_0.05_42__target__rf1.000,2026-05-15T09:19:50Z
1778836931383,model_training__RPU=32,poisson_99_2_1_0.05_42__target__rf1.000,2026-05-15T09:22:11Z
1778839357246,model_training__RPU=4,poisson_66_3_1_0.05_42__target__rf1.000,2026-05-15T10:02:37Z
1778839631928,model_training__RPU=8,poisson_99_2_1_0.05_42__target__rf1.000,2026-05-15T10:07:12Z
1778841575338,model_training__RPU=16,poisson_99_3_1_0.1_42__target__rf1.000,2026-05-15T10:39:35Z
1778841695519,model_training__RPU=32,poisson_99_3_1_0.1_42__target__rf1.000,2026-05-15T10:41:36Z
1778844782091,model_training__RPU=8,poisson_99_3_1_0.1_42__target__rf1.000,2026-05-15T11:33:02Z
1778845281053,model_training__RPU=16,poisson_99_3_1_0.05_42__target__rf1.000,2026-05-15T11:41:21Z
1778845494039,model_training__RPU=32,poisson_99_3_1_0.05_42__target__rf1.000,2026-05-15T11:44:54Z
1778846572149,model_training__RPU=4,poisson_99_2_1_0.1_42__target__rf1.000,2026-05-15T12:02:52Z
1778850918197,model_training__RPU=8,poisson_99_3_1_0.05_42__target__rf1.000,2026-05-15T13:15:18Z
1778852891136,model_training__RPU=4,poisson_99_2_1_0.05_42__target__rf1.000,2026-05-15T13:48:11Z
1778861305520,model_training__RPU=4,poisson_99_3_1_0.1_42__target__rf1.000,2026-05-15T16:08:26Z
1778868881242,model_training__RPU=4,poisson_99_3_1_0.05_42__target__rf1.000,2026-05-15T18:14:41Z
1779068364288,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=round_robin__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T01:39:26Z
1779068398270,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=round_robin__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T01:40:00Z
1779070565306,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=round_robin__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T02:16:07Z
1779070672662,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=round_robin__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T02:17:54Z
1779072831734,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=round_robin__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T02:53:53Z
1779073040073,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=round_robin__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T02:57:22Z
1779076569205,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=round_robin__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T03:56:11Z
1779076758838,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=round_robin__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T03:59:21Z
1779080412971,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=use_stage_model__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T05:00:15Z
1779080559111,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=use_stage_model__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T05:02:41Z
1779082699117,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=use_stage_model__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T05:38:21Z
1779082744027,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=use_stage_model__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T05:39:06Z
1779084943084,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=use_stage_model__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T06:15:45Z
1779084990569,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=use_stage_model__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T06:16:32Z
1779088809232,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=use_stage_model__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T07:20:11Z
1779088856953,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=use_stage_model__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T07:20:59Z
1779092597086,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=use_iconq_model__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T08:23:19Z
1779092676287,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=use_iconq_model__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T08:24:38Z
1779094881049,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=use_iconq_model__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T09:01:23Z
1779094923807,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=use_iconq_model__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.2_42__2026-01-01__rf1.000,2026-05-18T09:02:06Z
1779097046940,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=use_iconq_model__SECOND_CLUSTER_RPUS=16,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T09:37:29Z
1779097094757,query_router_eval__KAPPA=4__ROUTING_POLICY_NAME=use_iconq_model__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T09:38:17Z
1779100836713,query_router_eval__KAPPA=2__ROUTING_POLICY_NAME=use_iconq_model__SECOND_CLUSTER_RPUS=32,poisson_99_1_3_0.1_42__2026-01-01__rf1.000,2026-05-18T10:40:39Z
