cluster_id,day_total_queries,peak_5min_bin_count,peak_compressed_qps,concurrency_estimate
0,73918,4349,86.98,853.9327393939393
1,11189,812,16.24,159.43743030303028
2,130035,1193,23.86,234.24735757575755
3,48606,246,4.92,48.30247272727272
4,0,0,0.0,0.0
5,58,27,0.54,5.301490909090909
6,140997,908,18.16,178.28717575757574
7,24925,3200,64.0,628.3248484848484
8,21975,1341,26.82,263.3073818181818
9,9432,174,3.48,34.16516363636363
10,1303,231,4.62,45.3572
11,40848,495,9.9,97.19399999999999
12,65406,886,17.72,173.9674424242424
13,35066,506,10.12,99.35386666666665
14,21829,494,9.88,96.99764848484848
15,17419,445,8.9,87.37642424242424
16,38483,417,8.34,81.87858181818181
17,57,27,0.54,5.301490909090909
18,556,9,0.18,1.767163636363636
19,910,55,1.1,10.799333333333333
20,0,0,0.0,0.0
21,0,0,0.0,0.0
22,0,0,0.0,0.0
23,0,0,0.0,0.0
24,0,0,0.0,0.0
25,902,60,1.2,11.781090909090908
26,125028,1127,22.54,221.28815757575754
27,8220,223,4.46,43.78638787878787
28,5945,512,10.24,100.53197575757575
29,82711,837,16.74,164.34621818181816
30,0,0,0.0,0.0
31,100268,731,14.62,143.53295757575756
32,9256,180,3.6,35.343272727272726
33,50958,5204,104.08,1021.8132848484847
34,105982,972,19.44,190.8536727272727
35,0,0,0.0,0.0
36,0,0,0.0,0.0
37,0,0,0.0,0.0
38,0,0,0.0,0.0
39,0,0,0.0,0.0
40,0,0,0.0,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,15199,242,4.84,47.51706666666666
49,121999,1108,22.16,217.55747878787878
50,21115,293,5.86,57.53099393939394
51,165897,48214,964.28,9466.89195151515
52,25191,384,7.68,75.39898181818181
53,29866,374,7.48,73.43546666666666
54,24433,1615,32.3,317.1076969696969
55,32985,917,18.34,180.0543393939394
56,35019,196,3.92,38.48489696969696
57,3643,496,9.92,97.39035151515151
58,131,25,0.5,4.908787878787878
59,0,0,0.0,0.0
60,1122,6,0.12,1.1781090909090908
61,20742,569,11.38,111.72401212121211
62,0,0,0.0,0.0
63,7319,231,4.62,45.3572
64,0,0,0.0,0.0
65,105,15,0.3,2.945272727272727
66,2887,230,4.6,45.16084848484848
67,0,0,0.0,0.0
68,0,0,0.0,0.0
69,0,0,0.0,0.0
70,0,0,0.0,0.0
71,0,0,0.0,0.0
72,0,0,0.0,0.0
73,3685,164,3.28,32.20164848484848
74,1110,9,0.18,1.767163636363636
75,17947,125,2.5,24.54393939393939
76,10788,445,8.9,87.37642424242424
77,70091,1625,32.5,319.0712121212121
78,5,5,0.1,0.9817575757575757
79,159179,3450,69.0,677.4127272727272
80,13067,3152,63.04,618.8999757575757
81,0,0,0.0,0.0
82,0,0,0.0,0.0
83,0,0,0.0,0.0
84,0,0,0.0,0.0
85,0,0,0.0,0.0
86,0,0,0.0,0.0
87,0,0,0.0,0.0
88,0,0,0.0,0.0
89,0,0,0.0,0.0
90,0,0,0.0,0.0
91,0,0,0.0,0.0
92,0,0,0.0,0.0
93,0,0,0.0,0.0
94,0,0,0.0,0.0
95,0,0,0.0,0.0
96,662612,18946,378.92,3720.075806060606
97,25821,448,8.96,87.96547878787878
98,552561,3207,64.14,629.6993090909091
99,30065,120,2.4,23.562181818181816
100,346906,1636,32.72,321.23107878787874
101,1531,27,0.54,5.301490909090909
102,585,55,1.1,10.799333333333333
103,108346,1405,28.1,275.87387878787877
104,949,82,1.64,16.10082424242424
105,1308,90,1.8,17.671636363636363
106,4817,145,2.9,28.470969696969693
107,72120,388,7.76,76.18438787878787
108,28,23,0.46,4.516084848484848
109,475129,2962,59.24,581.5931878787878
110,8282,294,5.88,57.72734545454545
111,44261,538,10.76,105.63711515151513
112,39554,522,10.44,102.49549090909089
113,1902,415,8.3,81.48587878787879
114,13436,589,11.78,115.6510424242424
115,21643,687,13.74,134.8934909090909
116,0,0,0.0,0.0
117,16,13,0.26,2.5525696969696967
118,366,112,2.24,21.991369696969695
119,0,0,0.0,0.0
120,0,0,0.0,0.0
121,0,0,0.0,0.0
122,0,0,0.0,0.0
123,0,0,0.0,0.0
124,0,0,0.0,0.0
125,0,0,0.0,0.0
126,0,0,0.0,0.0
127,0,0,0.0,0.0
128,0,0,0.0,0.0
129,0,0,0.0,0.0
130,0,0,0.0,0.0
131,0,0,0.0,0.0
132,626531,6183,123.66,1214.041418181818
133,44056,345,6.9,67.74127272727273
134,6468,241,4.82,47.32071515151515
135,1868,244,4.88,47.90976969696969
136,1120,442,8.84,86.78736969696969
137,5435,90,1.8,17.671636363636363
138,369,28,0.56,5.497842424242424
139,3212,72,1.44,14.137309090909088
140,0,0,0.0,0.0
141,0,0,0.0,0.0
142,0,0,0.0,0.0
143,12297,698,13.96,137.05335757575756
144,3882,124,2.48,24.347587878787877
145,0,0,0.0,0.0
146,0,0,0.0,0.0
147,0,0,0.0,0.0
148,0,0,0.0,0.0
149,0,0,0.0,0.0
150,0,0,0.0,0.0
151,0,0,0.0,0.0
152,0,0,0.0,0.0
153,0,0,0.0,0.0
154,0,0,0.0,0.0
155,4681,459,9.18,90.12534545454544
156,32163,488,9.76,95.81953939393938
157,2318,128,2.56,25.132993939393938
158,1438,10,0.2,1.9635151515151514
159,187,14,0.28,2.748921212121212
160,9386,137,2.74,26.900157575757575
161,8690,476,9.52,93.4633212121212
162,112682,1029,20.58,202.04570909090904
163,41518,952,19.04,186.9266424242424
164,0,0,0.0,0.0
165,327,54,1.08,10.602981818181817
166,0,0,0.0,0.0
167,0,0,0.0,0.0
168,0,0,0.0,0.0
169,0,0,0.0,0.0
170,0,0,0.0,0.0
171,0,0,0.0,0.0
172,0,0,0.0,0.0
173,0,0,0.0,0.0
174,0,0,0.0,0.0
175,0,0,0.0,0.0
176,251,79,1.58,15.511769696969695
177,6486,300,6.0,58.90545454545454
178,59903,2500,50.0,490.8787878787878
179,3929,141,2.82,27.685563636363632
180,151663,989,19.78,194.19164848484849
181,76984,1146,22.92,225.01883636363635
182,6960,501,10.02,98.37210909090908
183,8475,176,3.52,34.55786666666666
184,9629,51,1.02,10.013927272727273
185,65975,1844,36.88,362.0721939393939
186,13371,644,12.88,126.45037575757576
187,7780,1999,39.98,392.50667878787874
188,0,0,0.0,0.0
189,0,0,0.0,0.0
190,0,0,0.0,0.0
191,0,0,0.0,0.0
192,0,0,0.0,0.0
193,0,0,0.0,0.0
194,0,0,0.0,0.0
195,0,0,0.0,0.0
196,0,0,0.0,0.0
197,0,0,0.0,0.0
198,0,0,0.0,0.0
199,0,0,0.0,0.0
