cluster_id,total_queries,num_weeks,median_weekly_queries,weekly_cv,dow_cv,hour_cv,latency_entropy
0,6471671,14,482253.0,0.21002942126935448,0.03910219535103232,0.784360694877921,0.45599929396005145
1,1251824,14,103550.0,0.2820647911478039,0.03608638967298843,0.772157367071619,0.4230498775390541
2,11685586,14,910034.0,0.22552982148648165,0.0058708082993123595,0.14498152863122862,0.009433886960393963
3,4694638,14,370431.5,0.2764681987877699,0.06025336537585316,0.07034892424250802,0.5482006127071156
4,13868325,9,1617707.0,0.21275881761259374,0.03922156381663728,0.03904312578478533,0.47678138102182044
5,5749,14,401.5,0.2860808870100599,0.028710929073335306,1.4640596126631544,0.4638997714544304
6,12952859,14,998533.5,0.19890338877612704,0.027462557691426536,0.1095285906063335,0.08252310584402765
7,1831676,14,138696.0,0.24863519698168238,0.4075697299272596,1.6023286056971178,0.2360415946566754
8,1945548,14,139052.5,0.3507874225205944,0.160914268285541,0.8468304859227948,0.38865477478522736
9,961406,14,65976.5,0.49905466305447654,0.28782267674741424,0.3910178982865079,0.26722944589787495
10,95158,14,7419.0,0.22386849224885344,0.16590540841577273,1.902619437424221,0.5671973330003274
11,3403751,14,253838.5,0.24244076160247854,0.015837355882460255,0.04839403037053791,0.7372628605180706
12,5049109,14,390918.0,0.21562755234591732,0.1870843582378151,0.2582531115654554,0.4751298178793264
13,2670284,14,204514.0,0.18847791289881913,0.06146152524625646,0.12332839535819096,0.7276460256897125
14,1969269,14,151915.0,0.23414040711457862,0.04063387315842502,0.9458135317103543,0.24138221859485537
15,2489369,14,144418.0,0.47237806122848147,0.04260514868917708,0.41611203064825897,0.34154375448373697
16,2807979,14,209001.5,0.23970073878849954,0.16162805818420511,0.12377144603449484,0.7485134003508279
17,4713,12,399.0,0.2101351313750585,0.01971233233205284,0.6845357873244468,0.3320297272863326
18,17056,3,5028.0,0.7204070230347521,1.283509145634439,2.4857259004552854,0.3064380120791252
19,22141,4,4847.5,0.9232169955846405,0.5919789961699355,0.2961009873345157,0.11667967621669555
20,4167,1,4167.0,,,,-0.0
21,47,1,47.0,,,,0.367860763392741
22,26,1,26.0,,,,-0.0
23,2702,1,2702.0,,,0.8782569791495387,0.6072428003297556
24,1894,1,1894.0,,,,-0.0
25,24312,14,1752.5,0.21875281168557703,0.5524788610181656,0.5995060748757001,0.38872015850532665
26,7563928,14,551613.0,0.42534832915803983,0.06557316593372314,0.27396948700490503,0.013396304400315112
27,424176,10,49420.0,0.42969869123102294,0.04343516966622812,0.1600125401453629,0.6201896837067655
28,527205,14,40552.0,0.2403684330383895,0.0785295044915495,1.4001490837910207,0.6676201631330693
29,7418316,14,564900.0,0.201420771808989,0.030116629833366236,0.1402846169446321,0.6752784992408507
30,6241,1,6241.0,,,1.0676668462877723,0.5236123479726374
31,9048312,14,696361.5,0.19791177895916368,0.03516450480924667,0.03235324677783593,0.18603369779088097
32,807921,14,56084.0,0.25666615492132705,0.1168349020104289,0.16947380172089538,0.8333488087100662
33,4337443,14,325965.0,0.3776858094969205,0.1741775416924561,1.47700556950518,0.420568850279715
34,7154843,14,379293.0,0.5523955512705019,0.15384882181108953,0.4435588435975008,0.18274689404118855
35,47,1,47.0,,,,0.3753564365831707
36,106,1,106.0,,,,-0.0
37,199819,1,199819.0,,1.60671518513902,0.7389866495461695,0.08787839181223761
38,3950,1,3950.0,,,,-0.0
39,120571,1,120571.0,,1.1292864646292353,0.2952399469067264,0.05098662704256118
40,560,1,560.0,,,,-0.0
41,1017,1,1017.0,,,,-0.0
42,512,1,512.0,,,,-0.0
43,2224,1,2224.0,,,0.8787963773379575,0.5860087750133706
44,7,1,7.0,,,,0.43156028428331555
45,4144,1,4144.0,,0.28802998229799526,0.34756332948261415,0.05162650892961847
46,96,1,96.0,,,,0.7400884378255622
47,8,1,8.0,,,,-0.0
48,1211495,14,92989.0,0.22751077281722126,0.02480932694727791,0.58292268962276,0.5348140933723663
49,9845897,14,729112.0,0.2387613414370218,0.1808634060321088,0.26701252740083065,0.38821415695660877
50,1246260,14,82149.0,0.2863985385479065,0.22300617034037487,0.1627911946833305,0.7184903363585734
51,13524597,14,1002461.5,0.23893833819486973,0.19164810329823895,0.8611604274839224,0.6821645697624704
52,2063769,14,150594.0,0.20813489562707058,0.10454006558818764,0.08421349211405649,0.7673731937119189
53,2441315,14,186684.0,0.21624221681653508,0.24058146718718243,0.24131660906753444,0.2898756015581393
54,1904917,14,137702.0,0.23515410201636736,0.20607890959168407,0.6530577002304601,0.5725782537540823
55,8307122,14,679489.0,0.3237891713021009,0.04985229184712544,0.08140329674227764,0.19000798408976594
56,2863151,14,215807.0,0.26337225328091196,0.10020491193430296,0.34692052728717293,0.033281780940640424
57,188644,14,10059.5,0.5914636299142986,0.03715288808752311,1.1994593247171756,0.7836799279517773
58,12662,14,930.0,0.2460040774432969,0.019795588106702174,1.6286830173000653,0.5756805028303047
59,50625,11,4862.0,0.23736367864448712,0.2435721325846131,1.0181847911167472,0.2870458464905125
60,100434,14,7852.0,0.23598037056238133,0.007969719521016794,0.0054802002584596115,0.013070846476268003
61,1607390,14,116818.5,0.2324867423898786,0.18418196558155583,0.30434815635392304,0.54992376754462
62,25110,10,24.0,1.6654745052986466,0.7246071233329625,2.175106202654857,0.5957492323518919
63,1023544,14,76700.5,0.33797625570241785,0.1711766932572342,0.2673143033825244,0.5136549511294859
64,625056,11,40098.0,0.615894742504466,0.36985485801816076,0.6165302135666988,0.1258462720320073
65,2343,14,160.5,0.4977535146362182,0.3167066465425312,2.379094017100645,0.7035254376590945
66,264888,14,20568.5,0.2272272679618365,0.021843974861218238,1.9432917331112982,0.535351423909819
67,68,1,68.0,,,,0.43324447740851846
68,503,1,503.0,,,,-0.0
69,3447,1,3447.0,,,,-0.0
70,240,1,240.0,,,,-0.0
