cluster_id,hour,template,count
101,0,028,1
101,1,028,2
101,7,009,1
101,8,009,2
101,12,009,1
101,13,009,1
101,13,028,1
101,16,009,3
101,16,028,4
101,17,009,4
101,17,028,6
101,17,088,3
101,18,028,1
101,19,009,2
101,19,028,1
101,19,089,1
101,20,009,4
101,20,089,1
101,21,009,1
101,22,009,4
101,23,009,6
101,23,028,1
101,23,089,1
137,0,009,6
137,0,028,7
137,1,009,6
137,1,028,7
137,2,009,9
137,2,028,4
137,3,009,7
137,3,028,6
137,4,009,8
137,4,028,5
137,5,009,7
137,5,028,7
137,6,009,9
137,6,028,4
137,7,009,8
137,7,028,5
137,8,009,6
137,8,028,7
137,9,009,8
137,9,028,5
137,10,009,9
137,10,028,4
137,11,009,9
137,11,028,4
137,12,009,5
137,12,028,8
137,13,009,6
137,13,028,7
137,14,009,8
137,14,028,5
137,15,009,11
137,15,028,2
137,16,009,5
137,16,028,8
137,17,009,33
137,17,028,46
137,17,038,1
137,18,009,20
137,18,028,24
137,19,009,23
137,19,028,30
137,20,009,33
137,20,028,63
137,21,009,29
137,21,028,38
137,22,009,7
137,22,028,6
137,23,009,5
137,23,028,8
157,0,009,4
157,1,009,7
157,2,009,4
157,3,009,6
157,3,028,1
157,4,009,4
157,4,022,1
157,4,093,2
157,5,009,4
157,6,003,2
157,6,009,10
157,6,012,1
157,6,020,1
157,6,028,2
157,6,041,1
157,6,093,2
157,6,098,1
157,7,009,13
157,8,009,2
157,8,028,4
157,9,003,1
157,9,008,1
157,9,009,23
157,9,022,2
157,9,024,1
157,9,028,19
157,9,068,1
157,10,009,30
157,10,012,2
157,10,020,1
157,10,028,39
157,10,043,1
157,10,052,1
157,10,086,1
157,11,003,6
157,11,009,46
157,11,012,4
157,11,020,4
157,11,022,2
157,11,024,1
157,11,028,47
157,11,041,2
157,11,043,5
157,11,045,1
157,11,051,2
157,11,052,3
157,11,055,2
157,11,065,1
157,11,079,2
157,11,084,1
157,11,086,2
157,11,093,6
157,11,096,3
157,11,098,4
157,12,003,1
157,12,006,1
