cluster_id,hour,total_queries,n_unique_templates,template_entropy
157,0,4,1,-0.0
157,1,4,1,-0.0
157,2,10,4,0.29322171639221534
157,3,5,2,0.13474961965186288
157,4,13,5,0.28107543413597796
157,5,7,2,0.18389520721124275
157,6,19,5,0.31418087151763785
157,7,63,12,0.4735109312294948
157,8,15,3,0.2163186715409014
157,9,57,8,0.3083592580767842
157,10,82,14,0.43623750677685447
157,11,138,22,0.5170647080796221
157,12,161,24,0.6110148248437778
157,13,175,19,0.5092670572011178
157,14,98,16,0.5219416704434725
157,15,107,13,0.3996780298718662
157,16,93,11,0.46636844705957886
157,17,19,4,0.1641620016107903
157,18,36,4,0.12504311686846023
157,19,68,9,0.3777340246624925
157,20,37,2,0.18418612071659685
157,21,66,8,0.2955798628967223
157,22,68,2,0.1748312253563152
157,23,11,4,0.2783201821969959
135,0,0,0,
135,1,0,0,
135,2,0,0,
135,3,0,0,
135,4,0,0,
135,5,0,0,
135,6,0,0,
135,7,0,0,
135,8,0,0,
135,9,0,0,
135,10,0,0,
135,11,7,2,0.21116291501321777
135,12,158,14,0.6297892051900111
135,13,45,2,0.2121809190404108
135,14,2,1,-0.0
135,15,27,2,0.24246729531981648
135,16,7,7,0.6868209035996629
135,17,62,6,0.18321365924189564
135,18,64,2,0.24032429068396452
135,19,53,2,0.2261689407098572
135,20,45,2,0.23754358930334854
135,21,8,2,0.23350279623166123
135,22,0,0,
135,23,0,0,
105,0,2,1,-0.0
105,1,1,1,-0.0
105,2,3,3,0.35037930642221093
105,3,2,2,0.22106472945750374
105,4,0,0,
105,5,12,2,0.22106472945750374
105,6,0,0,
105,7,50,3,0.06240484640747053
105,8,3,3,0.35037930642221093
105,9,0,0,
105,10,4,2,0.22106472945750374
105,11,1,1,-0.0
105,12,262,8,0.19238520028404366
105,13,234,6,0.3481421993634957
105,14,188,7,0.457221447167835
105,15,21,10,0.6509018727407979
105,16,114,11,0.650405219595616
105,17,0,0,
105,18,14,3,0.2845222505232568
105,19,0,0,
105,20,31,8,0.6242652999723549
105,21,12,3,0.3315970941862556
105,22,0,0,
105,23,0,0,
