cluster_id,hour,total_queries,n_unique_templates,template_entropy
157,0,4,1,-0.0
157,1,7,1,-0.0
157,2,4,1,-0.0
157,3,7,2,0.11444513767941734
157,4,7,3,0.26669313251188764
157,5,4,1,-0.0
157,6,20,8,0.45667278476670675
157,7,13,1,-0.0
157,8,6,2,0.177622660637882
157,9,48,7,0.32771934258873736
157,10,75,7,0.28839618202613776
157,11,144,20,0.5764922290849245
157,12,205,17,0.5009169765831089
157,13,57,9,0.3499937086461172
157,14,93,14,0.42970450074150224
157,15,78,8,0.4206485919127389
157,16,215,15,0.47808274135979756
157,17,130,9,0.4580173875139175
157,18,80,16,0.5861431581738862
157,19,14,2,0.11444513767941734
157,20,106,12,0.5008183718530215
157,21,16,2,0.17331745282273522
157,22,45,8,0.37350519670009996
157,23,14,6,0.46011953612915846
135,0,0,0,
135,1,0,0,
135,2,22,4,0.3217181957518407
135,3,114,5,0.28153954761699174
135,4,47,7,0.388723008735094
135,5,0,0,
135,6,0,0,
135,7,0,0,
135,8,0,0,
135,9,0,0,
135,10,0,0,
135,11,1,1,-0.0
135,12,170,16,0.5851016047371489
135,13,0,0,
135,14,13,2,0.22669751665055834
135,15,0,0,
135,16,36,8,0.425951616883186
135,17,10,2,0.22105656331194878
135,18,1,1,-0.0
135,19,45,2,0.22693979875230086
135,20,0,0,
135,21,3,2,0.2090686409165615
135,22,0,0,
135,23,0,0,
105,0,0,0,
105,1,0,0,
105,2,3,3,0.35037930642221093
105,3,2,2,0.22106472945750374
105,4,0,0,
105,5,0,0,
105,6,0,0,
105,7,50,3,0.08456669167215099
105,8,3,3,0.35037930642221093
105,9,0,0,
105,10,4,2,0.22106472945750374
105,11,1,1,-0.0
105,12,20,7,0.36625554497570767
105,13,156,10,0.4272114828295523
105,14,260,17,0.7900803242245682
105,15,455,10,0.6092709483236557
105,16,23,2,0.18305391490675707
105,17,6,5,0.49775579272721343
105,18,3,1,-0.0
105,19,1,1,-0.0
105,20,0,0,
105,21,0,0,
105,22,0,0,
105,23,0,0,
