C,Ac,rep,time_s
1,0,0,0.0016113333404064178
1,0,1,0.0006299354135990143
1,0,2,0.0005619525909423828
1,0,3,0.0005575641989707947
1,0,4,0.0005056820809841156
1,0,5,0.0005082562565803528
1,0,6,0.0004906691610813141
1,0,7,0.000529952347278595
1,0,8,0.0004832446575164795
1,0,9,0.0004967302083969116
1,1,0,0.005509518086910248
1,1,1,0.0024976320564746857
1,1,2,0.00241672620177269
1,1,3,0.0024818256497383118
1,1,4,0.0024226121604442596
1,1,5,0.0023924075067043304
1,1,6,0.002373620867729187
1,1,7,0.0023663751780986786
1,1,8,0.0023978017270565033
1,1,9,0.002382129430770874
1,2,0,0.004388540983200073
1,2,1,0.002728402614593506
1,2,2,0.0026797354221343994
1,2,3,0.0027001574635505676
1,2,4,0.0027149133384227753
1,2,5,0.0026569440960884094
1,2,6,0.002722281962633133
1,2,7,0.002697627991437912
1,2,8,0.0026837997138500214
1,2,9,0.0026799067854881287
1,4,0,0.004425901919603348
1,4,1,0.003240209072828293
1,4,2,0.0032043419778347015
1,4,3,0.0032106824219226837
1,4,4,0.0032315440475940704
1,4,5,0.003201596438884735
1,4,6,0.003205772489309311
1,4,7,0.003206159919500351
1,4,8,0.003197852522134781
1,4,9,0.003206603229045868
1,8,0,0.0053106918931007385
1,8,1,0.004432249814271927
1,8,2,0.004462298005819321
1,8,3,0.0044939517974853516
1,8,4,0.004515942186117172
1,8,5,0.004486247897148132
1,8,6,0.004495661705732346
1,8,7,0.004491198807954788
1,8,8,0.004391353577375412
1,8,9,0.004479296505451202
1,16,0,0.008102115243673325
1,16,1,0.006966870278120041
1,16,2,0.006919752806425095
1,16,3,0.007070723921060562
1,16,4,0.007044222205877304
1,16,5,0.0069188810884952545
1,16,6,0.007021654397249222
1,16,7,0.006928957998752594
1,16,8,0.006929021328687668
1,16,9,0.0070418789982795715
1,32,0,0.013963144272565842
1,32,1,0.012859206646680832
1,32,2,0.012374378740787506
1,32,3,0.012452729046344757
1,32,4,0.012571249157190323
1,32,5,0.012580886483192444
1,32,6,0.01226067915558815
1,32,7,0.012225411832332611
1,32,8,0.012477230280637741
1,32,9,0.012345917522907257
2,0,0,0.000718437135219574
2,0,1,0.00066404789686203
2,0,2,0.0006422996520996094
2,0,3,0.0006519146263599396
2,0,4,0.0006369948387145996
2,0,5,0.0006460957229137421
2,0,6,0.000642240047454834
2,0,7,0.0006333217024803162
2,0,8,0.0006516575813293457
2,0,9,0.0005674213171005249
2,1,0,0.003440406173467636
2,1,1,0.0028200261294841766
2,1,2,0.0028030425310134888
2,1,3,0.0028013065457344055
2,1,4,0.0028012804687023163
2,1,5,0.0028003714978694916
2,1,6,0.002818617969751358
2,1,7,0.0028316043317317963
2,1,8,0.0028105005621910095
2,1,9,0.0028032809495925903
2,2,0,0.004051525145769119
2,2,1,0.0032623186707496643
2,2,2,0.0032308027148246765
2,2,3,0.0032201558351516724
2,2,4,0.003242865204811096
2,2,5,0.0032631978392601013
2,2,6,0.0032332316040992737
2,2,7,0.003265298902988434
2,2,8,0.0032014064490795135
2,2,9,0.0032301992177963257
2,4,0,0.005101904273033142
2,4,1,0.004132874310016632
2,4,2,0.004178464412689209
2,4,3,0.00412924587726593
2,4,4,0.0041464269161224365
2,4,5,0.004141516983509064
2,4,6,0.004103977233171463
2,4,7,0.004082091152667999
2,4,8,0.00411577895283699
2,4,9,0.004229392856359482
2,8,0,0.006824500858783722
2,8,1,0.005896721035242081
2,8,2,0.0060494765639305115
2,8,3,0.005920376628637314
2,8,4,0.0059749409556388855
2,8,5,0.005969647318124771
2,8,6,0.0058952756226062775
2,8,7,0.0059585124254226685
2,8,8,0.005961395800113678
2,8,9,0.0059447698295116425
2,16,0,0.01158854365348816
2,16,1,0.009903959929943085
2,16,2,0.009934768080711365
2,16,3,0.009929679334163666
2,16,4,0.00985470786690712
2,16,5,0.009931869804859161
2,16,6,0.009797018021345139
2,16,7,0.009943075478076935
2,16,8,0.009805053472518921
2,16,9,0.0098501518368721
2,32,0,0.020626898854970932
2,32,1,0.01961255446076393
2,32,2,0.018311455845832825
2,32,3,0.018109284341335297
2,32,4,0.016900915652513504
2,32,5,0.015490684658288956
2,32,6,0.01598542556166649
2,32,7,0.01538173109292984
2,32,8,0.01549261063337326
2,32,9,0.0152532197535038
4,0,0,0.0008451975882053375
4,0,1,0.0008077807724475861
4,0,2,0.0008006282150745392
4,0,3,0.0007881298661231995
4,0,4,0.0007903724908828735
4,0,5,0.0007769055664539337
4,0,6,0.0007893182337284088
4,0,7,0.0006164722144603729
4,0,8,0.0005671083927154541
4,0,9,0.0005720853805541992
4,1,0,0.003947291523218155
4,1,1,0.0035085491836071014
4,1,2,0.0035011880099773407
4,1,3,0.0034855827689170837
4,1,4,0.003493286669254303
4,1,5,0.003484301269054413
4,1,6,0.0035125091671943665
4,1,7,0.003498561680316925
4,1,8,0.003512747585773468
4,1,9,0.003481641411781311
4,2,0,0.005136452615261078
4,2,1,0.0042517222464084625
4,2,2,0.004265446215867996
4,2,3,0.004270344972610474
4,2,4,0.004276949912309647
4,2,5,0.0042410604655742645
4,2,6,0.0042819976806640625
4,2,7,0.004276968538761139
4,2,8,0.004320252686738968
4,2,9,0.004296775907278061
4,4,0,0.006577391177415848
4,4,1,0.005616139620542526
4,4,2,0.005635842680931091
4,4,3,0.00564228743314743
4,4,4,0.005675729364156723
4,4,5,0.00565691664814949
4,4,6,0.005628228187561035
4,4,7,0.005621325224637985
4,4,8,0.005592435598373413
4,4,9,0.005719691514968872
