R,W,rep,time_s
1,1,0,0.009037915617227554
1,1,1,0.005988098680973053
1,1,2,0.005853861570358276
1,1,3,0.005984172224998474
1,1,4,0.005851946771144867
1,1,5,0.005788341164588928
1,1,6,0.005853693932294846
1,1,7,0.00589582696557045
1,1,8,0.005939394235610962
1,1,9,0.005774524062871933
1,2,0,0.013422571122646332
1,2,1,0.011700980365276337
1,2,2,0.011894922703504562
1,2,3,0.011746849864721298
1,2,4,0.011691346764564514
1,2,5,0.01171775534749031
1,2,6,0.011749058961868286
1,2,7,0.011702097952365875
1,2,8,0.011692628264427185
1,2,9,0.011729426681995392
1,4,0,0.023502487689256668
1,4,1,0.02336008846759796
1,4,2,0.02340683713555336
1,4,3,0.023399893194437027
1,4,4,0.023288723081350327
1,4,5,0.02339017018675804
1,4,6,0.024567387998104095
1,4,7,0.023404501378536224
1,4,8,0.023470211774110794
1,4,9,0.023219112306833267
1,8,0,0.049992501735687256
1,8,1,0.046437520533800125
1,8,2,0.04593031108379364
1,8,3,0.04618068411946297
1,8,4,0.04641980677843094
1,8,5,0.04609929397702217
1,8,6,0.04617919772863388
1,8,7,0.04613853618502617
1,8,8,0.046177301555871964
1,8,9,0.046190302819013596
1,16,0,0.09632029756903648
1,16,1,0.08679825067520142
1,16,2,0.08700476214289665
1,16,3,0.08700434491038322
1,16,4,0.08751631528139114
1,16,5,0.0871715359389782
1,16,6,0.08710020035505295
1,16,7,0.08697657659649849
1,16,8,0.08691134303808212
1,16,9,0.0873175673186779
1,32,0,0.17649270594120026
1,32,1,0.16101183369755745
1,32,2,0.14197424054145813
1,32,3,0.1438286080956459
1,32,4,0.1422984078526497
1,32,5,0.1422857828438282
1,32,6,0.14223425462841988
1,32,7,0.1426565796136856
1,32,8,0.14205915480852127
1,32,9,0.14243928715586662
2,1,0,0.005080968141555786
2,1,1,0.00498005747795105
2,1,2,0.004973981529474258
2,1,3,0.0050942860543727875
2,1,4,0.005010552704334259
2,1,5,0.004959188401699066
2,1,6,0.004957616329193115
2,1,7,0.00500086322426796
2,1,8,0.00500546395778656
2,1,9,0.0049845315515995026
2,2,0,0.010028038173913956
2,2,1,0.010033175349235535
2,2,2,0.010077517479658127
2,2,3,0.010000873357057571
2,2,4,0.010066144168376923
2,2,5,0.010070867836475372
2,2,6,0.010034237056970596
2,2,7,0.010071706026792526
2,2,8,0.010163165628910065
2,2,9,0.010016802698373795
2,4,0,0.020105063915252686
2,4,1,0.020148903131484985
2,4,2,0.020180795341730118
2,4,3,0.019890055060386658
2,4,4,0.020117174834012985
2,4,5,0.020258832722902298
2,4,6,0.020285028964281082
2,4,7,0.020264331251382828
2,4,8,0.02037869766354561
2,4,9,0.020263925194740295
2,8,0,0.04045362398028374
2,8,1,0.04024085775017738
2,8,2,0.04011670872569084
2,8,3,0.040063779801130295
2,8,4,0.040367577224969864
2,8,5,0.04034605994820595
2,8,6,0.04017988592386246
2,8,7,0.04021371528506279
2,8,8,0.04042386636137962
2,8,9,0.03993735462427139
2,16,0,0.1543300859630108
2,16,1,0.15274496376514435
2,16,2,0.15437491610646248
2,16,3,0.15256302803754807
2,16,4,0.1518644466996193
2,16,5,0.15163472294807434
2,16,6,0.15106947347521782
2,16,7,0.15170582383871078
2,16,8,0.15322759374976158
2,16,9,0.15174707025289536
2,32,0,0.29010504856705666
2,32,1,0.28529516607522964
2,32,2,0.285019114613533
2,32,3,0.2884335219860077
2,32,4,0.2849177271127701
2,32,5,0.2858375050127506
2,32,6,0.28612296655774117
2,32,7,0.28518764674663544
2,32,8,0.28518304973840714
2,32,9,0.2858406528830528
4,1,0,0.005053631961345673
4,1,1,0.005092144012451172
4,1,2,0.00496324896812439
4,1,3,0.0050444044172763824
4,1,4,0.005009520798921585
4,1,5,0.005006276071071625
4,1,6,0.004974972456693649
4,1,7,0.00499773770570755
4,1,8,0.005037665367126465
4,1,9,0.005027297884225845
4,2,0,0.009994156658649445
4,2,1,0.010098244994878769
4,2,2,0.01014062762260437
4,2,3,0.009939093142747879
4,2,4,0.009952802211046219
4,2,5,0.010440800338983536
4,2,6,0.009995818138122559
4,2,7,0.010090179741382599
4,2,8,0.010024536401033401
4,2,9,0.009937509894371033
4,4,0,0.020031657069921494
4,4,1,0.020167332142591476
4,4,2,0.02008352056145668
4,4,3,0.020227741450071335
4,4,4,0.020038112998008728
4,4,5,0.02014901489019394
4,4,6,0.02009875699877739
4,4,7,0.01995684579014778
4,4,8,0.02013736218214035
4,4,9,0.020236287266016006
4,8,0,0.04070758819580078
4,8,1,0.03984459117054939
4,8,2,0.04006669297814369
4,8,3,0.03970926254987717
4,8,4,0.0400586798787117
4,8,5,0.04001550003886223
4,8,6,0.03991846367716789
4,8,7,0.0400487519800663
4,8,8,0.039973776787519455
4,8,9,0.039915021508932114
4,16,0,0.306970302015543
4,16,1,0.2975241616368294
4,16,2,0.2959757149219513
4,16,3,0.29537147283554077
4,16,4,0.2960398197174072
4,16,5,0.29503660276532173
4,16,6,0.2959095239639282
4,16,7,0.2955768518149853
4,16,8,0.29678771644830704
4,16,9,0.29579512402415276
4,32,0,0.5655478201806545
4,32,1,0.5548560544848442
4,32,2,0.5552892424166203
4,32,3,0.5563655868172646
4,32,4,0.5573619641363621
4,32,5,0.5608736760914326
4,32,6,0.5567361526191235
4,32,7,0.5573276653885841
4,32,8,0.5552300289273262
4,32,9,0.5551878102123737
8,1,0,0.005050718784332275
8,1,1,0.005130596458911896
8,1,2,0.005011528730392456
8,1,3,0.0050463564693927765
8,1,4,0.005060743540525436
8,1,5,0.004961729049682617
8,1,6,0.005011875182390213
8,1,7,0.004985235631465912
8,1,8,0.004977263510227203
8,1,9,0.0051003433763980865
8,2,0,0.010099750012159348
8,2,1,0.010126825422048569
8,2,2,0.010010767728090286
8,2,3,0.010111548006534576
8,2,4,0.010104499757289886
8,2,5,0.010080307722091675
8,2,6,0.010042153298854828
8,2,7,0.010013572871685028
8,2,8,0.010008860379457474
8,2,9,0.010076228529214859
8,4,0,0.019958682358264923
8,4,1,0.020072251558303833
8,4,2,0.02002301812171936
8,4,3,0.020225200802087784
8,4,4,0.019944973289966583
8,4,5,0.02020159363746643
8,4,6,0.0201120488345623
8,4,7,0.020155657082796097
8,4,8,0.02034488320350647
8,4,9,0.019894689321517944
8,8,0,0.03992485627532005
8,8,1,0.039756424725055695
8,8,2,0.03988157957792282
8,8,3,0.0399184487760067
8,8,4,0.040003858506679535
8,8,5,0.039834167808294296
8,8,6,0.04010026901960373
8,8,7,0.040146294981241226
8,8,8,0.03984684497117996
8,8,9,0.04001888632774353
8,16,0,0.29673003032803535
8,16,1,0.29615718126296997
8,16,2,0.2931470610201359
8,16,3,0.2934996746480465
8,16,4,0.2925763465464115
8,16,5,0.29322193935513496
8,16,6,0.29282090440392494
8,16,7,0.2933652848005295
8,16,8,0.293238990008831
8,16,9,0.29329320415854454
8,32,0,0.5603578500449657
8,32,1,0.5569436550140381
8,32,2,0.5558912791311741
8,32,3,0.5567440427839756
8,32,4,0.556748766452074
8,32,5,0.5568834319710732
8,32,6,0.5679307579994202
8,32,7,0.5567810945212841
8,32,8,0.5557198077440262
8,32,9,0.556993056088686
