feature_idx,train_min,train_max,run_min,run_max,frac_run_rows_below_train_min,frac_run_rows_above_train_max,frac_run_rows_outside_train_range
0,3.0,40.0,3.0,32.0,0.0,0.0,0.0
1,12.239469,27.271223,12.239469,26.431196,0.0,0.0,0.0
2,0.0,37.0,0.0,24.0,0.0,0.0,0.0
3,0.0,24.102041,0.0,21.999441,0.0,0.0,0.0
4,0.0,24.0,0.0,24.0,0.0,0.0,0.0
5,0.0,27.40507,0.0,24.703436,0.0,0.0,0.0
6,0.0,24.0,0.0,8.0,0.0,0.0,0.0
7,0.0,27.389801,0.0,23.402664,0.0,0.0,0.0
8,0.0,18.0,0.0,6.0,0.0,0.0,0.0
9,0.0,24.77637,0.0,22.298603,0.0,0.0,0.0
10,0.0,9.0,0.0,9.0,0.0,0.0,0.0
11,0.0,32.975163,0.0,32.93021,0.0,0.0,0.0
12,0.0,13.0,0.0,4.0,0.0,0.0,0.0
13,0.0,41.48423,0.0,31.566753,0.0,0.0,0.0
14,0.0,10.0,0.0,3.0,0.0,0.0,0.0
15,0.0,41.48423,0.0,31.566753,0.0,0.0,0.0
16,0.0,1.0,0.0,1.0,0.0,0.0,0.0
17,0.0,41.48423,0.0,31.566753,0.0,0.0,0.0
18,0.0,4.0,0.0,1.0,0.0,0.0,0.0
19,0.0,10.883692,0.0,10.094108,0.0,0.0,0.0
20,0.0,12.0,0.0,2.0,0.0,0.0,0.0
21,0.0,41.484646,0.0,19.329586,0.0,0.0,0.0
22,0.0,24.0,0.0,0.0,0.0,0.0,0.0
23,0.0,3.1780543,0.0,0.0,0.0,0.0,0.0
24,0.0,15.0,0.0,15.0,0.0,0.0,0.0
25,0.0,5.170484,0.0,5.1059456,0.0,0.0,0.0
26,0.0,4.0,0.0,1.0,0.0,0.0,0.0
27,0.0,34.34107,0.0,31.566753,0.0,0.0,0.0
28,0.0,6.0,0.0,1.0,0.0,0.0,0.0
29,0.0,24.179092,0.0,16.477709,0.0,0.0,0.0
30,0.0,26.668282,0.0,26.215307,0.0,0.0,0.0
31,0.0,26.04918,0.0,25.113247,0.0,0.0,0.0
32,0.0,23.94438,0.0,22.96355,0.0,0.0,0.0
33,0.0,25.364576,0.0,24.671429,0.0,0.0,0.0
34,0.0,23.637354,0.0,23.26266,0.0,0.0,0.0
35,0.0,23.572794,0.0,22.56949,0.0,0.0,0.0
36,0.0,22.117495,0.0,21.951185,0.0,0.0,0.0
37,0.0,22.624777,0.0,20.631151,0.0,0.0,0.0
38,0.0,20.707136,0.0,20.443552,0.0,0.0,0.0
39,0.0,18.457237,0.0,17.641743,0.0,0.0,0.0
40,0.0,17.986816,0.0,17.686712,0.0,0.0,0.0
41,0.0,12.536167,0.0,10.961278,0.0,0.0,0.0
42,0.0,14.782405,0.0,10.793516,0.0,0.0,0.0
43,0.0,13.487006,0.0,13.487006,0.0,0.0,0.0
44,0.0,12.347572,0.0,10.961278,0.0,0.0,0.0
45,0.0,10.085809,0.0,9.392662,0.0,0.0,0.0
46,0.0,9.786055,0.0,9.786055,0.0,0.0,0.0
47,0.0,11.474101,0.0,10.087807,0.0,0.0,0.0
48,0.0,7.2189097,0.0,7.2189097,0.0,0.0,0.0
49,0.0,7.167038,0.0,7.167038,0.0,0.0,0.0
50,0.14835215,95.26535,0.14835215,52.878777,0.0,0.0,0.0
51,3.0,40.0,3.0,32.0,0.0,0.0,0.0
52,12.239469,27.271223,12.239469,26.431196,0.0,0.0,0.0
53,0.0,37.0,0.0,24.0,0.0,0.0,0.0
54,0.0,24.102041,0.0,21.999441,0.0,0.0,0.0
55,0.0,24.0,0.0,24.0,0.0,0.0,0.0
56,0.0,27.40507,0.0,24.703436,0.0,0.0,0.0
57,0.0,24.0,0.0,8.0,0.0,0.0,0.0
58,0.0,27.389801,0.0,23.402664,0.0,0.0,0.0
59,0.0,18.0,0.0,6.0,0.0,0.0,0.0
60,0.0,24.77637,0.0,22.298603,0.0,0.0,0.0
61,0.0,9.0,0.0,9.0,0.0,0.0,0.0
62,0.0,32.975163,0.0,32.93021,0.0,0.0,0.0
63,0.0,13.0,0.0,4.0,0.0,0.0,0.0
64,0.0,41.48423,0.0,31.566753,0.0,0.0,0.0
65,0.0,10.0,0.0,3.0,0.0,0.0,0.0
66,0.0,41.48423,0.0,31.566753,0.0,0.0,0.0
67,0.0,1.0,0.0,1.0,0.0,0.0,0.0
68,0.0,41.48423,0.0,31.566753,0.0,0.0,0.0
69,0.0,4.0,0.0,1.0,0.0,0.0,0.0
70,0.0,10.883692,0.0,10.094108,0.0,0.0,0.0
71,0.0,12.0,0.0,2.0,0.0,0.0,0.0
72,0.0,41.484646,0.0,19.329586,0.0,0.0,0.0
73,0.0,24.0,0.0,0.0,0.0,0.0,0.0
74,0.0,3.1780543,0.0,0.0,0.0,0.0,0.0
75,0.0,15.0,0.0,15.0,0.0,0.0,0.0
76,0.0,5.170484,0.0,5.1059456,0.0,0.0,0.0
77,0.0,4.0,0.0,1.0,0.0,0.0,0.0
78,0.0,34.34107,0.0,31.566753,0.0,0.0,0.0
79,0.0,6.0,0.0,1.0,0.0,0.0,0.0
80,0.0,24.179092,0.0,16.477709,0.0,0.0,0.0
81,0.0,26.668282,0.0,26.215307,0.0,0.0,0.0
82,0.0,26.04918,0.0,25.113247,0.0,0.0,0.0
83,0.0,23.94438,0.0,22.96355,0.0,0.0,0.0
84,0.0,25.364576,0.0,24.671429,0.0,0.0,0.0
85,0.0,23.637354,0.0,23.26266,0.0,0.0,0.0
86,0.0,23.572794,0.0,22.56949,0.0,0.0,0.0
87,0.0,22.117495,0.0,21.951185,0.0,0.0,0.0
88,0.0,22.624777,0.0,20.631151,0.0,0.0,0.0
89,0.0,20.707136,0.0,20.443552,0.0,0.0,0.0
90,0.0,18.457237,0.0,17.641743,0.0,0.0,0.0
91,0.0,17.986816,0.0,17.686712,0.0,0.0,0.0
92,0.0,12.536167,0.0,10.961278,0.0,0.0,0.0
93,0.0,14.782405,0.0,10.793516,0.0,0.0,0.0
94,0.0,13.487006,0.0,13.487006,0.0,0.0,0.0
95,0.0,12.347572,0.0,10.961278,0.0,0.0,0.0
96,0.0,10.085809,0.0,9.392662,0.0,0.0,0.0
97,0.0,9.786055,0.0,9.786055,0.0,0.0,0.0
98,0.0,11.474101,0.0,10.087807,0.0,0.0,0.0
99,0.0,7.2189097,0.0,7.2189097,0.0,0.0,0.0
100,0.0,7.167038,0.0,7.167038,0.0,0.0,0.0
101,0.14835215,95.26535,0.14835215,52.878777,0.0,0.0,0.0
102,0.0,3611.2788,0.0,1636.998,0.0,0.0,0.0
103,0.0,1.0,0.0,1.0,0.0,0.0,0.0
104,4.0,32.0,4.0,32.0,0.0,0.0,0.0
105,2.0,5.0,2.0,5.0,0.0,0.0,0.0
106,0.03125,0.25,0.03125,0.25,0.0,0.0,0.0
107,1.7020308,1524.2456,1.7979863,988.9788,0.0,0.0,0.0
108,1.7020308,1524.2456,1.7979863,988.9788,0.0,0.0,0.0
109,0.009272009,45.569065,0.009272009,26.439388,0.0,0.0,0.0
