dataset,feature_idx,min,p01,mean,std,p99,max
train,0,3.0,3.0,9.159852,6.8142176,38.0,40.0
train,1,12.239469,12.244894,24.676315,1.8796927,27.271223,27.271223
train,2,0.0,0.0,7.091398,5.9596934,36.0,37.0
train,3,0.0,0.0,16.30832,5.1471944,23.888021,24.102041
train,4,0.0,0.0,3.3146143,3.3842552,24.0,24.0
train,5,0.0,0.0,19.777973,6.2222457,26.592144,27.40507
train,6,0.0,0.0,2.6619265,3.9726028,24.0,24.0
train,7,0.0,0.0,10.731654,9.405523,27.389801,27.389801
train,8,0.0,0.0,2.1883974,2.6215305,18.0,18.0
train,9,0.0,0.0,13.81349,6.9568377,24.33471,24.77637
train,10,0.0,0.0,1.9158056,1.885289,8.0,9.0
train,11,0.0,0.0,16.084618,9.382135,27.14979,32.975163
train,12,0.0,0.0,1.4986238,1.9081075,13.0,13.0
train,13,0.0,0.0,13.26944,9.134273,41.48423,41.48423
train,14,0.0,0.0,1.1674739,1.1696875,4.0,10.0
train,15,0.0,0.0,13.0202675,9.111994,41.48423,41.48423
train,16,0.0,0.0,0.825274,0.3801399,1.0,1.0
train,17,0.0,0.0,12.326901,9.025226,41.48423,41.48423
train,18,0.0,0.0,0.75661445,0.5425269,1.0,4.0
train,19,0.0,0.0,6.269524,4.0482726,10.883692,10.883692
train,20,0.0,0.0,0.6125698,1.6303922,12.0,12.0
train,21,0.0,0.0,5.2580056,9.206167,41.484646,41.484646
train,22,0.0,0.0,0.56030023,3.1804256,24.0,24.0
train,23,0.0,0.0,0.09831572,0.49777332,3.1780543,3.1780543
train,24,0.0,0.0,0.5685046,1.9161222,8.0,15.0
train,25,0.0,0.0,0.58898115,1.4030708,5.1059456,5.170484
train,26,0.0,0.0,0.25678062,0.6958532,3.0,4.0
train,27,0.0,0.0,3.4867444,8.418069,34.147312,34.34107
train,28,0.0,0.0,0.37604794,1.0380158,6.0,6.0
train,29,0.0,0.0,3.0760489,7.008771,24.179092,24.179092
train,30,0.0,0.0,17.264631,11.586885,26.668282,26.668282
train,31,0.0,0.0,9.680371,11.89719,26.04918,26.04918
train,32,0.0,0.0,1.197757,5.114467,23.94438,23.94438
train,33,0.0,0.0,8.543933,11.343135,25.364576,25.364576
train,34,0.0,0.0,3.8003016,8.418425,23.26266,23.637354
train,35,0.0,0.0,3.1614983,7.7192664,22.944185,23.572794
train,36,0.0,0.0,2.4245071,6.7083426,21.951185,22.117495
train,37,0.0,0.0,6.232193,9.197784,22.624777,22.624777
train,38,0.0,0.0,4.799424,7.729218,20.707136,20.707136
