scenario,parameter,initial,final
1%,autoscaling_config.idle_time_before_tear_down_s,1200.0,300.0
1%,autoscaling_config.min_cluster_lifetime_s,1200.0,3600.0
1%,autoscaling_config.slo_tightening_factor,0.8,0.6
1%,managed_cluster_pool_config.initial_rpus,[16],[8]
5%,autoscaling_config.idle_time_before_tear_down_s,1200.0,600.0
5%,autoscaling_config.observation_window_s,300.0,120.0
5%,autoscaling_config.slo_tightening_factor,0.8,0.6
5%,managed_cluster_pool_config.initial_rpus,[16],[8]
10%,autoscaling_config.idle_time_before_tear_down_s,1200.0,600.0
10%,autoscaling_config.min_cluster_lifetime_s,1200.0,3600.0
10%,autoscaling_config.min_observations_to_act,5,10
10%,autoscaling_config.slo_tightening_factor,0.8,0.6
10%,managed_cluster_pool_config.initial_rpus,[16],[8]
