scenario,parameter,initial,final
May 24,autoscaling_config.idle_time_before_tear_down_s,1200.0,300.0
May 24,autoscaling_config.min_cluster_lifetime_s,1200.0,3600.0
May 24,autoscaling_config.min_observations_to_act,5,10
May 24,autoscaling_config.observation_window_s,300.0,120.0
May 24,managed_cluster_pool_config.initial_rpus,[16],[8]
May 25,autoscaling_config.idle_time_before_tear_down_s,1200.0,300.0
May 25,autoscaling_config.min_cluster_lifetime_s,1200.0,3600.0
May 25,managed_cluster_pool_config.initial_rpus,[16],[8]
May 26,autoscaling_config.idle_time_before_tear_down_s,1200.0,600.0
May 26,autoscaling_config.min_observations_to_act,5,10
May 26,autoscaling_config.observation_window_s,300.0,120.0
May 26,autoscaling_config.slo_tightening_factor,0.8,0.6
May 26,managed_cluster_pool_config.initial_rpus,[16],[8]
May 27,autoscaling_config.idle_time_before_tear_down_s,1200.0,600.0
May 27,autoscaling_config.observation_window_s,300.0,120.0
May 27,autoscaling_config.slo_tightening_factor,0.8,0.6
May 27,managed_cluster_pool_config.initial_rpus,[16],[8]
