R,W,rep,time_s
2,1,0,0.015040978789329529
2,1,1,0.01020825281739235
2,1,2,0.010033935308456421
2,1,3,0.010075367987155914
2,1,4,0.009938664734363556
2,1,5,0.009985577315092087
2,1,6,0.009944502264261246
2,1,7,0.009932707995176315
2,1,8,0.009965945035219193
2,1,9,0.010027114301919937
2,2,0,0.021861780434846878
2,2,1,0.020254679024219513
2,2,2,0.020323459059000015
2,2,3,0.020250651985406876
2,2,4,0.019994881004095078
2,2,5,0.020115744322538376
2,2,6,0.02034807577729225
2,2,7,0.020060472190380096
2,2,8,0.020085833966732025
2,2,9,0.020316630601882935
2,4,0,0.045518096536397934
2,4,1,0.041879404336214066
2,4,2,0.04197381064295769
2,4,3,0.04188111424446106
2,4,4,0.04179181903600693
2,4,5,0.04196200147271156
2,4,6,0.04189269617199898
2,4,7,0.04081394523382187
2,4,8,0.036910831928253174
2,4,9,0.03598986938595772
2,8,0,0.08351564779877663
2,8,1,0.08155915513634682
2,8,2,0.0788830928504467
2,8,3,0.07769952714443207
2,8,4,0.077581986784935
2,8,5,0.077375128865242
2,8,6,0.07750991731882095
2,8,7,0.07797063142061234
2,8,8,0.07759079709649086
2,8,9,0.07792400568723679
2,16,0,0.19005949422717094
2,16,1,0.1742655597627163
2,16,2,0.1736360676586628
2,16,3,0.17671387270092964
2,16,4,0.17425722256302834
2,16,5,0.1731574535369873
2,16,6,0.1727314069867134
2,16,7,0.17392095550894737
2,16,8,0.1731458455324173
2,16,9,0.17298061400651932
2,32,0,0.4792949929833412
2,32,1,0.44023774191737175
2,32,2,0.4414719119668007
2,32,3,0.43960798159241676
2,32,4,0.44049688801169395
2,32,5,0.4363616295158863
2,32,6,0.4351526200771332
2,32,7,0.43564818799495697
2,32,8,0.43604211136698723
2,32,9,0.4327036403119564
3,1,0,0.012826990336179733
3,1,1,0.012748625129461288
3,1,2,0.012747257947921753
3,1,3,0.01280529797077179
3,1,4,0.012738421559333801
3,1,5,0.012799631804227829
3,1,6,0.01279672235250473
3,1,7,0.012822873890399933
3,1,8,0.012806233018636703
3,1,9,0.012797921895980835
3,2,0,0.025672439485788345
3,2,1,0.025760699063539505
3,2,2,0.02564172074198723
3,2,3,0.025629311800003052
3,2,4,0.025736384093761444
3,2,5,0.025719717144966125
3,2,6,0.025850515812635422
3,2,7,0.025670647621154785
3,2,8,0.025564070791006088
3,2,9,0.02558913454413414
3,4,0,0.054903727024793625
3,4,1,0.05322395637631416
3,4,2,0.05320926010608673
3,4,3,0.0614720918238163
3,4,4,0.06155962496995926
3,4,5,0.061607763171195984
3,4,6,0.06184137240052223
3,4,7,0.061518944799900055
3,4,8,0.061631012707948685
3,4,9,0.061656296253204346
3,8,0,0.13628867268562317
3,8,1,0.13327418640255928
3,8,2,0.13312461599707603
3,8,3,0.1330648809671402
3,8,4,0.1332680620253086
3,8,5,0.13338862732052803
3,8,6,0.13347972929477692
3,8,7,0.13321707397699356
3,8,8,0.13321496546268463
3,8,9,0.13340971618890762
3,16,0,0.3112907260656357
3,16,1,0.30302417650818825
3,16,2,0.30343005061149597
3,16,3,0.30277765542268753
3,16,4,0.30319151282310486
3,16,5,0.30393334850668907
3,16,6,0.3040708228945732
3,16,7,0.30288785696029663
3,16,8,0.3038293980062008
3,16,9,0.30332978069782257
3,32,0,0.771855752915144
3,32,1,0.7992206700146198
3,32,2,0.6658462285995483
3,32,3,0.6560072414577007
3,32,4,0.655867163091898
3,32,5,0.6565240658819675
3,32,6,0.6620855070650578
3,32,7,0.6547074057161808
3,32,8,0.6574268192052841
3,32,9,0.6559347175061703
4,1,0,0.017017625272274017
4,1,1,0.01717803254723549
4,1,2,0.017158444970846176
4,1,3,0.017128001898527145
4,1,4,0.01708775758743286
4,1,5,0.01717175915837288
4,1,6,0.017141036689281464
4,1,7,0.017064854502677917
4,1,8,0.017107032239437103
4,1,9,0.01723557338118553
4,2,0,0.03457839787006378
4,2,1,0.034475382417440414
4,2,2,0.03429571911692619
4,2,3,0.0343133881688118
4,2,4,0.0344022735953331
4,2,5,0.03439079225063324
4,2,6,0.03435705602169037
4,2,7,0.034353483468294144
4,2,8,0.03425472229719162
4,2,9,0.03434339165687561
4,4,0,0.07124564796686172
4,4,1,0.07101207971572876
4,4,2,0.07119306176900864
4,4,3,0.07135722413659096
4,4,4,0.0709175318479538
4,4,5,0.07134155184030533
4,4,6,0.0712292306125164
4,4,7,0.07127097621560097
4,4,8,0.07124987244606018
4,4,9,0.07105033099651337
4,8,0,0.15310771390795708
4,8,1,0.15274984389543533
4,8,2,0.15081066638231277
4,8,3,0.15069571137428284
4,8,4,0.15090518444776535
4,8,5,0.15083928406238556
4,8,6,0.15148237720131874
4,8,7,0.15251504629850388
4,8,8,0.15293904766440392
4,8,9,0.15395871177315712
4,16,0,0.35547635331749916
4,16,1,0.3507644981145859
4,16,2,0.35173922404646873
4,16,3,0.3502047434449196
4,16,4,0.35072412341833115
4,16,5,0.3611716590821743
4,16,6,0.35460473969578743
4,16,7,0.3504035882651806
4,16,8,0.35109302774071693
4,16,9,0.35126953572034836
4,32,0,0.9013626910746098
4,32,1,0.8908269628882408
4,32,2,0.902551706880331
4,32,3,0.9011366032063961
4,32,4,0.8956312276422977
4,32,5,0.8984177373349667
4,32,6,0.896546196192503
4,32,7,0.892146859318018
4,32,8,0.8891822062432766
4,32,9,0.8916523046791553
