C,Ac,rep,time_s
1,0,0,0.001655425876379013
1,0,1,0.0003939308226108551
1,0,2,0.00033022835850715637
1,0,3,0.00032053515315055847
1,0,4,0.0003038160502910614
1,0,5,0.0002819746732711792
1,0,6,0.0002736039459705353
1,0,7,0.00029202550649642944
1,0,8,0.00027005746960639954
1,0,9,0.0002672821283340454
1,1,0,0.00509609654545784
1,1,1,0.0023474805057048798
1,1,2,0.0023770295083522797
1,1,3,0.0022607631981372833
1,1,4,0.002235613763332367
1,1,5,0.0022685974836349487
1,1,6,0.002302117645740509
1,1,7,0.00231311097741127
1,1,8,0.0022852085530757904
1,1,9,0.0022944919764995575
1,2,0,0.003786671906709671
1,2,1,0.0025553181767463684
1,2,2,0.0026515834033489227
1,2,3,0.0025175362825393677
1,2,4,0.002607472240924835
1,2,5,0.002507120370864868
1,2,6,0.002523723989725113
1,2,7,0.0025533437728881836
1,2,8,0.0024856925010681152
1,2,9,0.0024855956435203552
1,4,0,0.004424352198839188
1,4,1,0.0030222274363040924
1,4,2,0.003033418208360672
1,4,3,0.0032048895955085754
1,4,4,0.003016628324985504
1,4,5,0.0030367672443389893
1,4,6,0.0030469000339508057
1,4,7,0.003037732094526291
1,4,8,0.0030169785022735596
1,4,9,0.0030332431197166443
1,8,0,0.005459591746330261
1,8,1,0.00420176237821579
1,8,2,0.004378378391265869
1,8,3,0.0041634701192379
1,8,4,0.004149504005908966
1,8,5,0.004099547863006592
1,8,6,0.004143010824918747
1,8,7,0.004191715270280838
1,8,8,0.00415923073887825
1,8,9,0.004083305597305298
1,16,0,0.008795514702796936
1,16,1,0.007150810211896896
1,16,2,0.0070542097091674805
1,16,3,0.006670065224170685
1,16,4,0.006786413490772247
1,16,5,0.006888777017593384
1,16,6,0.006716340780258179
1,16,7,0.0067138150334358215
1,16,8,0.006744015961885452
1,16,9,0.006784055382013321
1,32,0,0.01587618514895439
1,32,1,0.013793736696243286
1,32,2,0.013635683804750443
1,32,3,0.013678152114152908
1,32,4,0.013192586600780487
1,32,5,0.013206642121076584
1,32,6,0.0133889801800251
1,32,7,0.013344544917345047
1,32,8,0.013356257230043411
1,32,9,0.01317102462053299
2,0,0,0.0006185919046401978
2,0,1,0.000582672655582428
2,0,2,0.0005635693669319153
2,0,3,0.0005726553499698639
2,0,4,0.0005468502640724182
2,0,5,0.0005615837872028351
2,0,6,0.0005475878715515137
2,0,7,0.0005666725337505341
2,0,8,0.0005647130310535431
2,0,9,0.0005427561700344086
2,1,0,0.0032737553119659424
2,1,1,0.0026121027767658234
2,1,2,0.002589501440525055
2,1,3,0.0025739334523677826
2,1,4,0.0026194825768470764
2,1,5,0.0026213712990283966
2,1,6,0.0025997087359428406
2,1,7,0.0026154443621635437
2,1,8,0.0026017725467681885
2,1,9,0.0027315914630889893
2,2,0,0.0038847997784614563
2,2,1,0.003054685890674591
2,2,2,0.003008294850587845
2,2,3,0.003057558089494705
2,2,4,0.003048218786716461
2,2,5,0.003038894385099411
2,2,6,0.003017127513885498
2,2,7,0.0030375756323337555
2,2,8,0.0030342116951942444
2,2,9,0.003000892698764801
2,4,0,0.004732951521873474
2,4,1,0.0038271471858024597
2,4,2,0.003819413483142853
2,4,3,0.0038278214633464813
2,4,4,0.0038568228483200073
2,4,5,0.003859013319015503
2,4,6,0.0038542747497558594
2,4,7,0.0038090161979198456
2,4,8,0.0038642510771751404
2,4,9,0.003862384706735611
2,8,0,0.006491117179393768
2,8,1,0.005508482456207275
2,8,2,0.005549367517232895
2,8,3,0.00559467077255249
2,8,4,0.005658343434333801
2,8,5,0.005523078143596649
2,8,6,0.005560304969549179
2,8,7,0.005550224334001541
2,8,8,0.00556342676281929
2,8,9,0.0055242739617824554
2,16,0,0.011015966534614563
2,16,1,0.010166361927986145
2,16,2,0.009785842150449753
2,16,3,0.009912200272083282
2,16,4,0.009843587875366211
2,16,5,0.009855184704065323
2,16,6,0.009775392711162567
2,16,7,0.009807568043470383
2,16,8,0.009901855140924454
2,16,9,0.009819906204938889
2,32,0,0.022396136075258255
2,32,1,0.01990317925810814
2,32,2,0.01975146308541298
2,32,3,0.01915021985769272
2,32,4,0.019013814628124237
2,32,5,0.019138231873512268
2,32,6,0.01928016170859337
2,32,7,0.019275818020105362
2,32,8,0.01917552947998047
2,32,9,0.01973583549261093
4,0,0,0.0008105598390102386
4,0,1,0.0007895007729530334
4,0,2,0.0007874034345149994
4,0,3,0.000783093273639679
4,0,4,0.0007583834230899811
4,0,5,0.0007818639278411865
4,0,6,0.0007369890809059143
4,0,7,0.0004742443561553955
4,0,8,0.00047664716839790344
4,0,9,0.0004479251801967621
4,1,0,0.0038029998540878296
4,1,1,0.0032694675028324127
4,1,2,0.0032683275640010834
4,1,3,0.003263913094997406
4,1,4,0.00326523557305336
4,1,5,0.003267444670200348
4,1,6,0.003236517310142517
4,1,7,0.003297608345746994
4,1,8,0.003237638622522354
4,1,9,0.0032482892274856567
4,2,0,0.004849541932344437
4,2,1,0.0038488321006298065
4,2,2,0.003909870982170105
4,2,3,0.0038951896131038666
4,2,4,0.0038920752704143524
4,2,5,0.003910090774297714
4,2,6,0.003917153924703598
4,2,7,0.003937356173992157
4,2,8,0.003907643258571625
4,2,9,0.003955531865358353
4,4,0,0.006082519888877869
4,4,1,0.00512777641415596
4,4,2,0.005095668137073517
4,4,3,0.005204822868108749
4,4,4,0.005168363451957703
4,4,5,0.00514264777302742
4,4,6,0.0051429010927677155
4,4,7,0.005191504955291748
4,4,8,0.005106993019580841
4,4,9,0.005158182233572006
4,8,0,0.009015236049890518
4,8,1,0.008123409003019333
4,8,2,0.007969699800014496
4,8,3,0.0080508291721344
4,8,4,0.008051205426454544
4,8,5,0.008013911545276642
4,8,6,0.008040718734264374
4,8,7,0.008033018559217453
